‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,95,95~95,¡º,71,139,90,2,28,98
2015-01,80,20~143,¡º,54,106,20,1.926,31,55
2015-02,75,36~124,¡º,47,96,22,0.936,17,67
2015-03,58,31~90,¡º,31,66,22,0.603,13,73
2015-04,60,40~83,¡º,22,67,27,0.537,9,90
2015-05,61,32~207,¡º,24,63,24,0.581,16,76
2015-06,40,26~59,”≈,16,38,30,0.417,17,61
2015-07,50,27~90,¡º,19,39,12,0.597,14,91
2015-08,45,26~95,”≈,16,32,8,0.552,16,83
2015-09,55,27~95,¡º,22,40,8,0.52,18,97
2015-10,64,27~97,¡º,30,64,11,0.655,22,105
2015-11,42,25~73,”≈,20,42,18,1.01,18,56
2015-12,56,39~92,¡º,32,62,17,1.039,21,63
2016-01,63,30~117,¡º,41,75,19,1.065,17,52
2016-02,53,23~148,¡º,35,56,15,0.859,15,55
2016-03,61,37~89,¡º,36,72,21,0.835,25,59
2016-04,48,30~75,”≈,21,51,24,0.7,16,60
2016-05,57,33~86,¡º,21,64,16,0.777,12,86
2016-06,54,26~96,¡º,17,55,9,0.713,10,83
2016-07,48,30~67,”≈,16,46,12,0.577,12,82
2016-08,52,29~88,¡º,17,49,19,0.597,13,91
2016-09,64,31~110,¡º,23,63,17,0.623,16,104
2016-10,48,25~73,”≈,19,51,19,1.003,15,71
2016-11,56,23~112,¡º,25,64,21,1.157,23,46
2016-12,73,40~106,¡º,40,95,19,1.5,32,49
2017-01,82,40~150,¡º,53,110,20,1.584,22,66
2017-02,61,35~137,¡º,29,69,17,1.689,23,65
2017-03,55,33~91,¡º,20,61,15,0.923,29,68
2017-04,60,36~98,¡º,18,70,12,0.8,30,80
2017-05,62,21~94,¡º,15,56,12,0.665,24,98
2017-06,44,27~63,”≈,12,41,4,0.657,23,69
2017-07,54,33~89,¡º,13,56,5,0.674,15,79
2017-08,50,26~84,¡º,13,52,4,0.729,12,78
2017-09,54,38~105,¡º,18,54,5,0.773,16,77
2017-10,44,20~102,”≈,19,44,5,0.858,16,67
2017-11,70,30~89,¡º,35,92,8,1.114,30,77
2017-12,89,73~97,¡º,58,121,8,1.2,26,61
2018-01,59,30~97,¡º,33,68,8,1.339,20,52
2018-02,84,37~132,¡º,49,114,9,1.332,21,69
2018-03,57,26~101,¡º,24,65,9,0.977,23,63
2018-04,70,40~92,¡º,26,92,8,0.888,19,93
