‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,156,70~344,÷–∂»Œ€»æ,121,190,86,1.85,70,41
2014-01,136,62~297,«·∂»Œ€»æ,101,165,98,2.455,55,61
2014-02,187,70~305,÷–∂»Œ€»æ,143,194,68,3.325,43,74
2014-03,121,72~250,«·∂»Œ€»æ,73,167,35,2.506,42,92
2014-04,92,48~242,¡º,58,118,16,1.663,36,105
2014-05,98,35~299,¡º,51,137,14,1.343,32,107
2014-06,89,51~141,¡º,43,94,12,1.31,31,138
2014-07,67,40~101,¡º,38,70,11,0.732,27,109
2014-08,69,32~108,¡º,42,77,12,0.803,27,104
2014-09,57,28~103,¡º,35,63,13,0.943,25,77
2014-10,101,27~215,«·∂»Œ€»æ,70,122,14,0.939,39,77
2014-11,111,42~210,«·∂»Œ€»æ,79,136,33,1.593,45,56
2014-12,98,55~208,¡º,67,129,58,1.803,42,43
2015-01,133,62~290,«·∂»Œ€»æ,98,162,60,2.229,50,60
2015-02,110,53~216,«·∂»Œ€»æ,75,134,45,1.796,29,94
2015-03,93,56~150,¡º,62,121,29,1.323,36,96
2015-04,81,49~148,¡º,40,104,16,0.897,27,106
2015-05,79,52~126,¡º,38,89,11,0.829,28,121
2015-06,66,33~100,¡º,35,69,8,0.86,22,103
2015-07,74,50~113,¡º,42,76,9,0.8,24,124
2015-08,64,39~122,¡º,37,75,7,0.755,28,90
2015-09,67,32~88,¡º,41,76,10,0.903,30,94
2015-10,82,34~174,¡º,47,107,16,1.048,42,75
2015-11,84,43~212,¡º,60,94,27,1.587,43,43
2015-12,148,57~318,«·∂»Œ€»æ,112,156,48,1.648,50,51
2016-01,145,52~309,«·∂»Œ€»æ,109,148,46,1.61,48,76
2016-02,104,52~231,«·∂»Œ€»æ,65,125,34,1.255,31,113
2016-03,127,55~327,«·∂»Œ€»æ,76,156,29,1.084,42,119
2016-04,97,71~170,¡º,48,95,18,0.837,35,137
2016-05,90,38~168,¡º,34,74,12,0.69,29,140
2016-06,104,61~143,«·∂»Œ€»æ,30,63,11,0.663,24,163
2016-07,88,49~138,¡º,28,54,7,0.61,20,144
2016-08,82,33~111,¡º,39,63,12,0.923,22,135
2016-09,87,49~134,¡º,48,79,15,1.093,32,121
2016-10,77,33~166,¡º,49,87,18,1.323,35,74
2016-11,131,57~269,«·∂»Œ€»æ,90,182,32,1.72,52,54
2016-12,128,62~254,«·∂»Œ€»æ,95,149,35,1.781,52,55
2017-01,131,52~302,«·∂»Œ€»æ,94,154,39,1.91,44,64
2017-02,114,46~211,«·∂»Œ€»æ,82,124,32,1.654,41,87
2017-03,82,49~140,¡º,54,89,20,1.235,36,97
2017-04,90,41~398,¡º,43,96,13,1.143,31,116
2017-05,111,51~500,«·∂»Œ€»æ,41,106,12,1.081,26,144
2017-06,97,48~148,¡º,32,63,12,1.087,24,154
2017-07,94,33~151,¡º,36,70,11,1.032,23,150
2017-08,69,30~124,¡º,33,64,9,1.3,20,112
2017-09,74,40~105,¡º,40,83,13,1.283,32,104
2017-10,68,28~114,¡º,47,78,15,1.445,34,60
2017-11,98,64~169,¡º,68,119,28,1.62,50,58
2017-12,114,58~227,«·∂»Œ€»æ,79,144,42,1.761,54,58
2018-01,123,45~211,«·∂»Œ€»æ,90,140,39,1.803,49,68
2018-02,95,45~210,¡º,62,116,34,1.407,35,87
2018-03,111,57~170,«·∂»Œ€»æ,76,131,21,1.452,37,119
2018-04,112,79~137,«·∂»Œ€»æ,49,174,18,0.95,32,123
