‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,51,51~51,¡º,21,52,34,0.6,35,68
2015-01,115,36~233,«·∂»Œ€»æ,86,111,57,2,50,68
2015-02,102,25~177,«·∂»Œ€»æ,76,101,45,1.839,30,46
2015-03,66,27~122,¡º,47,69,43,1.281,27,43
2015-04,67,36~95,¡º,47,78,43,1.173,35,50
2015-05,111,56~233,«·∂»Œ€»æ,82,125,39,1.158,34,83
2015-06,60,33~142,¡º,37,66,46,0.983,36,91
2015-07,56,35~79,¡º,32,62,35,0.874,27,86
2015-08,74,39~113,¡º,49,92,32,0.919,28,91
2015-09,61,40~77,¡º,36,72,30,0.963,31,83
2015-10,86,33~163,¡º,62,96,36,1.239,40,73
2015-11,73,36~132,¡º,51,76,34,1.38,40,46
2015-12,122,56~272,«·∂»Œ€»æ,91,133,51,1.658,48,51
2016-01,116,46~296,«·∂»Œ€»æ,86,125,42,1.616,43,47
2016-02,94,42~176,¡º,66,100,59,1.779,45,57
2016-03,103,43~186,«·∂»Œ€»æ,75,110,55,1.597,52,77
2016-04,70,45~110,¡º,47,76,43,1.327,41,89
2016-05,83,48~162,¡º,57,96,42,1.165,34,106
2016-06,63,41~108,¡º,35,54,40,1.16,30,98
2016-07,60,32~122,¡º,22,34,35,1.171,32,101
2016-08,87,45~141,¡º,24,41,34,1.181,29,140
2016-09,64,35~100,¡º,30,55,32,1.207,35,107
2016-10,58,39~84,¡º,32,52,37,0.961,42,63
2016-11,84,40~139,¡º,58,92,45,1.15,58,56
2016-12,108,44~178,«·∂»Œ€»æ,78,111,46,1.365,70,52
2017-01,116,53~246,«·∂»Œ€»æ,86,117,38,1.232,54,53
2017-02,106,53~145,«·∂»Œ€»æ,79,111,44,1.175,56,66
2017-03,92,59~143,¡º,66,102,36,1.042,55,78
2017-04,87,50~120,¡º,58,101,33,1.323,53,99
2017-05,87,41~129,¡º,53,87,20,1.029,45,128
2017-06,69,41~127,¡º,42,60,18,0.857,36,108
2017-07,63,42~125,¡º,33,58,23,0.829,42,97
2017-08,57,32~88,¡º,34,56,26,0.803,38,89
2017-09,65,35~98,¡º,40,66,21,0.883,39,92
2017-10,72,39~117,¡º,48,78,21,0.958,50,82
2017-11,99,53~149,¡º,72,115,24,1.23,62,66
2017-12,119,58~256,«·∂»Œ€»æ,89,127,24,1.265,67,50
2018-01,115,52~233,«·∂»Œ€»æ,86,109,21,1.229,54,56
2018-02,98,40~203,¡º,71,100,24,1.232,53,64
2018-03,72,38~109,¡º,51,79,23,1.129,46,86
2018-04,75,62~100,¡º,45,93,21,0.875,42,92
