‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,108,52~211,«·∂»Œ€»æ,79,130,148,1.897,63,35
2014-01,91,49~167,¡º,64,117,137,2.197,58,42
2014-02,97,34~158,¡º,67,116,108,1.329,41,58
2014-03,96,53~425,¡º,47,133,83,1.323,36,80
2014-04,88,58~197,¡º,43,122,25,0.928,26,109
2014-05,77,49~169,¡º,28,96,17,0.929,30,111
2014-06,70,48~98,¡º,27,63,21,1.123,29,117
2014-07,71,47~112,¡º,35,87,13,0.848,27,101
2014-08,64,50~87,¡º,38,77,17,0.839,31,84
2014-09,64,43~82,¡º,35,78,17,0.917,36,60
2014-10,76,34~119,¡º,46,101,27,1.065,43,62
2014-11,98,52~175,¡º,70,123,106,1.47,54,43
2014-12,90,57~155,¡º,59,121,142,1.387,43,40
2015-01,115,56~220,«·∂»Œ€»æ,82,154,176,1.739,56,36
2015-02,87,57~144,¡º,48,118,98,1.104,34,53
2015-03,92,50~318,¡º,39,127,75,0.926,32,74
2015-04,83,53~164,¡º,38,116,21,0.783,27,92
2015-05,82,42~150,¡º,34,109,18,0.674,25,101
2015-06,83,55~145,¡º,35,103,18,0.77,23,117
2015-07,91,66~135,¡º,45,112,17,0.803,29,141
2015-08,74,47~121,¡º,42,95,19,0.855,34,95
2015-09,60,32~82,¡º,33,71,17,0.863,29,73
2015-10,64,28~112,¡º,34,76,30,1.223,42,60
2015-11,107,44~221,«·∂»Œ€»æ,76,127,92,1.613,47,32
2015-12,120,43~294,«·∂»Œ€»æ,74,133,136,2.058,56,52
2016-01,106,47~210,«·∂»Œ€»æ,73,116,117,1.561,44,57
2016-02,104,51~234,«·∂»Œ€»æ,70,124,105,1.317,41,87
2016-03,106,56~210,«·∂»Œ€»æ,64,148,69,1.023,36,94
2016-04,79,53~100,¡º,46,106,24,0.76,32,113
2016-05,105,55~500,«·∂»Œ€»æ,49,139,23,0.681,27,121
2016-06,91,65~143,¡º,36,81,22,0.66,25,142
2016-07,88,51~143,¡º,30,73,17,0.848,22,143
2016-08,69,35~110,¡º,29,65,15,1.013,21,111
2016-09,67,49~97,¡º,31,70,17,0.983,31,107
2016-10,80,50~172,¡º,52,105,33,1.274,42,72
2016-11,112,44~182,«·∂»Œ€»æ,74,158,87,1.733,59,55
2016-12,141,71~249,«·∂»Œ€»æ,103,169,125,2.245,62,45
2017-01,136,69~322,«·∂»Œ€»æ,91,176,127,2.206,57,56
2017-02,106,55~190,«·∂»Œ€»æ,73,135,90,1.489,49,82
2017-03,80,52~137,¡º,50,100,52,1.077,42,99
2017-04,87,48~184,¡º,39,119,24,0.693,35,120
2017-05,130,73~500,«·∂»Œ€»æ,52,164,28,0.616,38,146
2017-06,117,67~196,«·∂»Œ€»æ,35,105,23,0.637,35,173
2017-07,101,57~179,«·∂»Œ€»æ,33,86,17,0.694,30,156
2017-08,84,42~131,¡º,30,77,21,0.745,32,134
2017-09,76,56~116,¡º,32,94,25,0.843,38,113
2017-10,81,33~173,¡º,48,110,27,1.19,43,82
2017-11,90,44~159,¡º,50,127,64,1.397,47,67
2017-12,91,50~165,¡º,61,118,71,1.848,55,62
2018-01,87,44~166,¡º,57,108,60,1.342,40,68
2018-02,76,52~183,¡º,42,93,65,1.146,34,93
2018-03,105,64~196,«·∂»Œ€»æ,51,156,47,0.99,41,114
2018-04,126,67~226,«·∂»Œ€»æ,42,196,22,0.713,25,120
