月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,39,39~39,优,12,39,46,0.2,9,45
2015-01,43,25~95,优,18,46,43,0.416,9,50
2015-02,54,27~179,良,24,63,34,0.486,7,55
2015-03,64,27~191,良,27,72,32,0.916,7,60
2015-04,56,30~147,良,17,65,14,0.383,8,71
2015-05,57,26~132,良,18,68,11,0.6,9,76
2015-06,44,22~83,优,13,38,11,0.507,7,76
2015-07,47,27~71,优,16,48,8,0.687,5,73
2015-08,49,26~82,优,13,55,9,0.597,9,56
2015-09,40,21~60,优,11,40,8,0.733,10,57
2015-10,42,19~123,优,13,46,14,0.806,12,50
2015-11,45,25~69,优,20,43,31,0.98,18,46
2015-12,39,24~63,优,19,37,30,0.926,17,50
2016-01,43,23~73,优,15,34,38,0.703,14,62
2016-02,49,42~75,优,14,29,30,0.676,10,94
2016-03,63,38~191,良,24,65,21,0.439,9,93
2016-04,72,46~239,良,18,77,11,0.45,8,108
2016-05,67,31~183,良,17,73,8,0.568,10,106
2016-06,45,0~79,优,14,40,8,0.573,13,78
2016-07,48,28~67,优,17,35,8,0.539,7,90
2016-08,51,0~90,良,12,35,8,0.619,12,94
2016-09,41,25~60,优,9,27,8,0.573,14,79
2016-10,39,14~70,优,13,36,13,0.513,12,61
2016-11,46,28~170,优,13,47,23,0.547,14,63
2016-12,42,30~72,优,18,36,28,0.797,19,68
2017-01,47,34~129,优,20,39,29,0.906,18,81
2017-02,52,40~131,良,14,38,21,1.018,14,94
2017-03,50,38~63,优,14,29,21,0.555,13,96
2017-04,68,40~191,良,17,78,13,0.497,16,98
2017-05,87,36~500,良,25,105,9,0.574,16,106
2017-06,63,41~88,良,12,35,12,0.373,18,112
2017-07,68,42~95,良,14,32,11,0.406,18,120
2017-08,54,35~84,良,11,27,13,0.51,20,101
2017-09,53,30~90,良,12,47,12,0.363,21,91
2017-10,46,27~98,优,15,42,24,0.371,30,67
2017-11,52,25~203,良,13,62,26,0.453,24,57
2017-12,39,26~116,优,13,37,30,0.619,16,56
2018-01,47,28~92,优,13,48,35,0.51,16,66
2018-02,65,36~494,良,18,67,30,0.561,14,80
2018-03,89,43~500,良,21,108,24,0.6,12,94
2018-04,187,44~500,中度污染,59,326,17,0.175,9,95
