‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,99,99~99,¡º,57,148,85,1.1,38,56
2014-01,122,46~240,«·∂»Œ€»æ,90,136,99,1.613,44,45
2014-02,133,43~344,«·∂»Œ€»æ,99,141,101,1.496,42,64
2014-03,101,50~230,«·∂»Œ€»æ,70,123,75,1.623,42,87
2014-04,101,62~174,«·∂»Œ€»æ,65,130,38,1.067,42,118
2014-05,95,51~179,¡º,50,90,33,0.974,41,141
2014-06,87,38~156,¡º,44,64,28,0.777,33,136
2014-07,90,51~176,¡º,54,77,25,0.784,30,136
2014-08,82,39~192,¡º,47,76,26,0.903,31,128
2014-09,65,35~128,¡º,35,69,31,0.817,41,102
2014-10,114,40~269,«·∂»Œ€»æ,82,127,44,1.374,50,81
2014-11,100,38~220,«·∂»Œ€»æ,72,114,106,2.263,58,45
2014-12,78,24~202,¡º,54,86,115,1.858,46,42
2015-01,74,33~129,¡º,53,79,117,1.645,48,40
2015-02,106,37~224,«·∂»Œ€»æ,75,113,101,1.548,41,51
2015-03,99,39~194,¡º,68,123,74,1.281,47,68
2015-04,88,42~155,¡º,59,99,38,1.087,41,98
2015-05,92,41~200,¡º,47,81,36,0.845,35,138
2015-06,93,49~177,¡º,40,59,26,0.913,27,150
2015-07,84,42~147,¡º,42,65,21,0.839,24,135
2015-08,87,40~185,¡º,44,64,23,0.958,28,138
2015-09,73,32~131,¡º,33,58,27,0.91,34,117
2015-10,82,34~182,¡º,53,87,38,1.077,38,92
2015-11,127,52~276,«·∂»Œ€»æ,91,117,83,1.273,42,63
2015-12,137,55~335,«·∂»Œ€»æ,103,131,112,1.674,51,44
2016-01,98,59~285,¡º,70,100,102,1.277,40,69
2016-02,88,48~260,¡º,59,90,85,1.134,34,85
2016-03,109,49~248,«·∂»Œ€»æ,76,125,73,1.139,48,99
2016-04,99,57~360,¡º,51,116,33,0.787,38,128
2016-05,108,60~203,«·∂»Œ€»æ,40,78,33,0.806,36,167
2016-06,121,75~194,«·∂»Œ€»æ,42,57,24,0.817,31,182
2016-07,88,42~152,¡º,41,55,17,0.758,25,141
2016-08,77,32~134,¡º,29,46,19,0.726,27,130
2016-09,68,29~125,¡º,35,52,22,0.82,31,113
2016-10,68,34~188,¡º,46,64,37,0.981,38,77
2016-11,105,54~235,«·∂»Œ€»æ,78,96,81,1.287,45,53
2016-12,127,47~315,«·∂»Œ€»æ,94,115,97,1.7,49,50
2017-01,121,55~362,«·∂»Œ€»æ,89,118,99,1.758,50,61
2017-02,99,46~267,¡º,70,95,67,1.261,42,77
2017-03,83,43~188,¡º,57,87,60,1.061,43,92
2017-04,80,52~133,¡º,45,98,32,0.9,33,119
2017-05,102,47~199,«·∂»Œ€»æ,39,94,19,0.823,28,150
2017-06,103,34~202,«·∂»Œ€»æ,37,67,21,0.96,33,159
2017-07,105,59~191,«·∂»Œ€»æ,35,63,14,0.797,27,163
2017-08,73,34~137,¡º,27,49,19,0.842,26,124
2017-09,71,42~120,¡º,31,66,31,0.957,35,117
2017-10,80,28~213,¡º,53,81,33,1.106,44,77
2017-11,69,36~134,¡º,42,79,59,1.05,45,56
2017-12,89,43~186,¡º,62,87,86,1.413,47,47
2018-01,80,45~139,¡º,54,79,79,1.313,43,54
2018-02,88,47~158,¡º,62,88,67,1.218,36,73
2018-03,108,42~241,«·∂»Œ€»æ,73,103,54,1.129,41,92
2018-04,79,47~123,¡º,43,85,24,0.8,29,97
