‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,179,63~358,÷–∂»Œ€»æ,141,189,49,1.577,72,38
2014-01,148,60~313,«·∂»Œ€»æ,113,143,33,1.445,58,46
2014-02,93,25~187,¡º,68,78,18,1.107,32,56
2014-03,108,56~218,«·∂»Œ€»æ,77,115,26,1.168,46,77
2014-04,91,47~161,¡º,64,102,20,1.06,48,103
2014-05,113,57~210,«·∂»Œ€»æ,73,164,32,1.148,49,132
2014-06,110,42~216,«·∂»Œ€»æ,80,122,21,1.107,40,115
2014-07,93,35~178,¡º,65,96,24,1.206,34,92
2014-08,74,26~164,¡º,44,80,16,1.261,30,110
2014-09,66,33~136,¡º,37,74,18,1.097,41,101
2014-10,81,58~134,¡º,51,106,22,1.158,50,109
2014-11,91,42~191,¡º,66,109,25,1.223,58,81
2014-12,98,59~149,¡º,69,126,38,1.223,58,58
2015-01,118,38~246,«·∂»Œ€»æ,87,124,33,1.335,62,55
2015-02,92,27~220,¡º,68,97,22,1.175,36,62
2015-03,82,37~153,¡º,56,90,24,1.265,47,80
2015-04,92,50~201,¡º,51,100,29,1.243,48,132
2015-05,80,46~136,¡º,49,92,26,0.932,41,117
2015-06,100,49~188,«·∂»Œ€»æ,52,77,23,0.827,36,152
2015-07,97,36~196,¡º,44,53,24,0.752,28,147
2015-08,101,22~193,«·∂»Œ€»æ,42,49,22,0.761,31,157
2015-09,88,49~205,¡º,38,46,21,0.66,30,143
2015-10,88,43~198,¡º,62,80,25,0.848,45,119
2015-11,84,28~208,¡º,61,74,22,0.897,43,65
2015-12,133,54~237,«·∂»Œ€»æ,100,123,29,0.99,51,50
2016-01,115,40~224,«·∂»Œ€»æ,85,112,29,0.968,43,67
2016-02,107,43~186,«·∂»Œ€»æ,80,114,29,0.969,41,88
2016-03,94,41~208,¡º,67,115,31,0.826,52,90
2016-04,76,42~120,¡º,44,83,28,0.75,42,116
2016-05,80,47~146,¡º,41,86,24,0.768,31,123
2016-06,69,39~129,¡º,34,63,21,0.773,29,110
2016-07,79,33~185,¡º,36,59,22,0.813,27,118
2016-08,90,34~182,¡º,29,49,22,0.819,28,144
2016-09,82,29~176,¡º,38,62,22,1.007,30,130
2016-10,48,25~74,”≈,26,46,19,0.894,31,67
2016-11,73,34~152,¡º,50,79,23,1.007,48,66
2016-12,100,42~186,«·∂»Œ€»æ,72,109,21,1.01,56,61
2017-01,96,42~215,¡º,69,104,15,1.016,46,63
2017-02,109,46~192,«·∂»Œ€»æ,80,112,18,0.986,48,87
2017-03,88,47~158,¡º,64,101,18,0.761,51,103
2017-04,93,47~128,¡º,52,104,19,0.91,50,133
2017-05,115,38~187,«·∂»Œ€»æ,48,100,20,0.894,41,162
2017-06,107,33~181,«·∂»Œ€»æ,46,87,17,0.86,35,157
2017-07,83,32~196,¡º,34,61,17,0.829,28,131
2017-08,75,33~138,¡º,34,58,12,0.861,26,124
2017-09,80,39~152,¡º,46,68,9,0.827,34,114
2017-10,66,30~129,¡º,42,63,9,0.674,37,95
2017-11,93,45~179,¡º,65,107,15,0.823,56,71
2017-12,120,53~306,«·∂»Œ€»æ,89,126,18,0.874,63,51
2018-01,128,28~273,«·∂»Œ€»æ,96,112,14,0.926,53,57
2018-02,94,49~215,¡º,67,91,12,0.704,39,74
2018-03,93,37~200,¡º,68,87,13,0.739,44,97
2018-04,91,54~145,¡º,59,102,12,0.65,35,122
