‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,146,62~273,«·∂»Œ€»æ,111,150,103,1.43,59,36
2014-01,120,50~245,«·∂»Œ€»æ,89,128,78,1.148,47,51
2014-02,117,53~278,«·∂»Œ€»æ,85,127,75,1.139,46,68
2014-03,96,51~237,¡º,68,119,52,0.974,47,81
2014-04,91,53~142,¡º,55,130,23,0.803,47,101
2014-05,66,34~158,¡º,34,76,11,0.71,41,95
2014-06,72,36~124,¡º,38,83,9,0.707,47,106
2014-07,84,36~200,¡º,53,95,6,0.784,31,115
2014-08,71,48~101,¡º,37,81,7,0.794,39,118
2014-09,59,29~80,¡º,26,69,8,0.667,38,81
2014-10,178,52~431,÷–∂»Œ€»æ,141,208,23,1.3,57,88
2014-11,111,51~308,«·∂»Œ€»æ,81,134,55,1.103,46,52
2014-12,110,53~233,«·∂»Œ€»æ,79,107,85,1.013,44,44
2015-01,137,58~264,«·∂»Œ€»æ,104,140,95,1.323,53,53
2015-02,114,43~273,«·∂»Œ€»æ,84,120,68,1.121,45,75
2015-03,82,47~151,¡º,54,104,42,0.81,39,96
2015-04,88,41~149,¡º,53,113,16,0.717,36,116
2015-05,92,38~500,¡º,37,102,8,0.661,33,115
2015-06,86,44~145,¡º,38,69,8,0.697,45,137
2015-07,84,36~142,¡º,38,74,7,0.648,37,134
2015-08,60,32~105,¡º,28,50,7,0.655,32,102
2015-09,64,37~108,¡º,28,66,9,0.7,44,92
2015-10,114,41~289,«·∂»Œ€»æ,79,113,21,0.845,47,85
2015-11,154,55~497,÷–∂»Œ€»æ,126,149,47,1.093,54,63
2015-12,136,52~335,«·∂»Œ€»æ,104,131,78,1.29,57,45
2016-01,101,57~223,«·∂»Œ€»æ,74,108,76,1.032,49,54
2016-02,70,41~142,¡º,46,76,53,0.783,35,73
2016-03,96,45~199,¡º,60,121,36,0.784,40,99
2016-04,77,53~134,¡º,34,96,13,0.63,35,109
2016-05,84,47~154,¡º,28,69,10,0.587,34,136
2016-06,80,38~150,¡º,30,52,8,0.613,41,131
2016-07,69,34~113,¡º,27,49,6,0.639,33,118
2016-08,63,22~106,¡º,25,52,7,0.632,35,106
2016-09,55,27~92,¡º,28,53,7,0.72,38,77
2016-10,77,37~158,¡º,51,78,17,1.035,42,62
2016-11,96,44~296,¡º,71,88,43,1.36,43,50
2016-12,108,41~206,«·∂»Œ€»æ,80,100,63,1.616,51,42
2017-01,119,37~323,«·∂»Œ€»æ,89,113,66,1.684,51,56
2017-02,86,42~204,¡º,60,83,49,1.443,43,79
2017-03,87,38~210,¡º,61,99,35,1.419,50,99
2017-04,87,44~192,¡º,50,106,18,1.077,40,115
2017-05,99,37~500,¡º,28,106,12,0.906,31,128
2017-06,78,40~126,¡º,24,59,11,0.983,42,123
2017-07,81,35~130,¡º,24,54,9,0.932,31,135
2017-08,49,28~80,”≈,15,38,9,0.926,28,87
2017-09,51,35~80,¡º,17,48,10,0.913,35,80
2017-10,98,49~250,¡º,67,106,20,1.277,49,76
2017-11,84,44~202,¡º,56,86,29,0.827,35,51
2017-12,83,48~178,¡º,60,84,50,1.152,45,40
2018-01,71,43~124,¡º,51,72,48,1.035,41,53
2018-02,64,38~113,¡º,42,63,38,1.057,35,69
2018-03,90,44~242,¡º,60,93,22,1.068,44,101
2018-04,81,56~118,¡º,53,93,13,0.863,33,106
