‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,177,81~262,÷–∂»Œ€»æ,136,143,54,1.632,74,49
2014-01,204,70~356,÷ÿ∂»Œ€»æ,161,129,45,1.76,69,59
2014-02,102,19~222,«·∂»Œ€»æ,77,58,22,1.471,34,47
2014-03,88,40~156,¡º,65,85,24,1.277,41,53
2014-04,84,35~145,¡º,61,84,20,1.07,40,73
2014-05,92,30~156,¡º,65,106,20,0.987,34,75
2014-06,98,29~311,¡º,73,94,16,0.973,29,91
2014-07,69,37~116,¡º,48,79,16,0.839,30,87
2014-08,69,30~120,¡º,47,69,17,0.829,27,99
2014-09,72,23~134,¡º,51,73,18,0.957,31,85
2014-10,129,24~299,«·∂»Œ€»æ,99,124,24,1.071,44,96
2014-11,99,41~299,¡º,74,80,26,1.097,46,51
2014-12,105,62~240,«·∂»Œ€»æ,78,91,34,0.965,56,48
2015-01,150,27~257,÷–∂»Œ€»æ,115,104,34,1.3,61,48
2015-02,120,19~217,«·∂»Œ€»æ,91,93,25,1.181,42,65
2015-03,75,27~200,¡º,55,69,18,1.103,38,48
2015-04,70,28~122,¡º,49,74,19,0.91,37,84
2015-05,84,43~206,¡º,60,78,18,0.89,28,85
2015-06,51,26~84,¡º,31,51,16,0.75,24,75
2015-07,64,34~120,¡º,38,56,12,0.719,25,109
2015-08,76,29~131,¡º,40,61,15,0.671,24,126
2015-09,86,40~130,¡º,51,77,15,0.807,29,133
2015-10,97,33~156,¡º,69,107,18,0.906,47,123
2015-11,63,32~107,¡º,44,62,14,1.113,41,39
2015-12,106,40~234,«·∂»Œ€»æ,77,104,17,1.039,46,34
2016-01,111,57~220,«·∂»Œ€»æ,82,101,18,1.248,46,38
2016-02,98,39~262,¡º,71,102,21,1.028,36,79
2016-03,95,33~175,¡º,70,103,19,1.039,49,80
2016-04,69,33~105,¡º,45,70,14,0.95,39,90
2016-05,66,34~113,¡º,40,66,14,0.829,34,98
2016-06,66,36~125,¡º,33,53,15,0.8,26,113
2016-07,64,23~156,¡º,31,56,15,0.774,26,106
2016-08,75,46~128,¡º,37,64,14,0.784,27,123
2016-09,95,32~163,¡º,53,84,17,0.84,35,143
2016-10,65,25~130,¡º,43,61,12,0.9,32,64
2016-11,77,23~145,¡º,55,82,14,1.08,43,43
2016-12,112,40~212,«·∂»Œ€»æ,84,109,18,1.248,61,50
2017-01,131,49~334,«·∂»Œ€»æ,99,120,16,1.287,46,52
2017-02,87,32~176,¡º,64,85,16,1.011,48,74
2017-03,77,33~223,¡º,49,73,12,0.974,49,63
2017-04,73,35~113,¡º,41,72,13,0.893,41,111
2017-05,94,44~165,¡º,43,79,11,0.845,37,134
2017-06,57,33~138,¡º,25,41,9,0.823,26,96
2017-07,64,24~125,¡º,26,50,13,0.706,24,111
2017-08,60,35~125,¡º,24,45,12,0.694,24,107
2017-09,75,32~165,¡º,36,59,11,0.783,30,119
2017-10,69,23~179,¡º,46,62,11,0.761,35,88
2017-11,117,44~232,«·∂»Œ€»æ,87,102,15,1.003,56,69
2017-12,119,67~212,«·∂»Œ€»æ,89,102,16,1.081,61,56
2018-01,106,32~288,«·∂»Œ€»æ,79,64,12,1.09,46,47
2018-02,99,42~221,¡º,72,93,12,1.007,37,76
2018-03,74,30~143,¡º,50,71,12,0.871,43,87
2018-04,81,38~118,¡º,48,100,13,0.838,40,108
