‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,162,66~312,÷–∂»Œ€»æ,122,191,31,1.563,38,22
2014-01,134,51~282,«·∂»Œ€»æ,101,158,34,2.235,47,48
2014-02,105,49~245,«·∂»Œ€»æ,77,129,29,1.889,41,51
2014-03,95,58~154,¡º,61,133,47,2.139,42,88
2014-04,90,57~139,¡º,61,119,49,2.23,34,90
2014-05,83,58~141,¡º,41,115,34,1.616,32,87
2014-06,76,43~133,¡º,46,99,24,2.047,30,76
2014-07,72,52~108,¡º,46,88,20,1.561,30,87
2014-08,70,28~118,¡º,50,75,28,1.552,32,80
2014-09,66,24~117,¡º,47,64,23,1.503,28,64
2014-10,107,35~225,«·∂»Œ€»æ,79,111,29,1.942,44,76
2014-11,143,45~293,«·∂»Œ€»æ,109,171,57,2.64,47,54
2014-12,107,42~234,«·∂»Œ€»æ,77,126,79,2.923,52,49
2015-01,121,57~243,«·∂»Œ€»æ,91,131,86,2.939,56,53
2015-02,84,54~125,¡º,59,101,49,2.443,39,90
2015-03,85,58~118,¡º,52,110,52,2.074,39,120
2015-04,73,45~105,¡º,38,86,38,1.41,34,108
2015-05,91,55~142,¡º,56,106,27,1.174,26,131
2015-06,99,42~163,¡º,57,95,20,1.81,21,150
2015-07,116,78~179,«·∂»Œ€»æ,64,91,27,1.665,27,173
2015-08,78,44~129,¡º,53,80,33,1.474,28,120
2015-09,67,38~104,¡º,46,73,25,1.573,28,100
2015-10,87,41~172,¡º,59,102,37,1.852,44,103
2015-11,94,32~200,¡º,65,106,62,2.54,48,55
2015-12,174,45~349,÷–∂»Œ€»æ,131,191,133,2.633,57,48
2016-01,170,69~343,÷–∂»Œ€»æ,129,177,164,3.281,59,58
2016-02,114,49~320,«·∂»Œ€»æ,79,128,124,2.817,40,83
2016-03,122,62~209,«·∂»Œ€»æ,84,157,64,2.458,42,114
2016-04,96,49~190,¡º,58,121,27,1.727,35,134
2016-05,103,57~177,«·∂»Œ€»æ,45,93,23,1.139,28,155
2016-06,91,0~154,¡º,46,72,16,1.183,23,143
2016-07,67,28~114,¡º,44,62,9,1.213,20,94
2016-08,62,35~80,¡º,37,57,10,1.271,21,102
2016-09,68,42~99,¡º,43,78,19,1.437,34,100
2016-10,66,35~102,¡º,41,72,25,1.742,40,74
2016-11,128,72~273,«·∂»Œ€»æ,96,162,98,2.483,61,58
2016-12,162,76~284,÷–∂»Œ€»æ,123,185,155,3.213,75,52
2017-01,150,84~286,÷–∂»Œ€»æ,114,169,144,3.032,64,62
2017-02,118,71~208,«·∂»Œ€»æ,86,136,121,2.711,58,86
2017-03,94,52~160,¡º,65,113,63,1.79,47,108
2017-04,86,44~144,¡º,49,103,26,1.383,39,124
2017-05,111,55~199,«·∂»Œ€»æ,42,95,16,0.887,33,162
2017-06,127,58~196,«·∂»Œ€»æ,48,77,15,1.233,28,188
2017-07,105,43~202,«·∂»Œ€»æ,48,75,10,1.397,23,163
2017-08,98,40~150,¡º,50,78,12,1.335,28,151
2017-09,89,42~119,¡º,53,99,16,1.5,37,133
2017-10,82,29~163,¡º,57,94,11,1.5,36,81
2017-11,96,62~163,¡º,67,123,33,1.51,46,80
2017-12,101,53~213,«·∂»Œ€»æ,69,125,53,1.806,50,63
2018-01,124,45~233,«·∂»Œ€»æ,91,140,52,1.819,50,63
2018-02,109,54~261,«·∂»Œ€»æ,76,124,46,1.493,32,99
2018-03,103,58~186,«·∂»Œ€»æ,74,124,15,1.277,30,128
2018-04,94,59~128,¡º,43,132,12,0.913,24,122
