‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,82,82~82,¡º,11,114,21,1.1,5,38
2015-01,75,43~144,¡º,43,101,96,1.981,31,38
2015-02,94,43~287,¡º,54,127,74,1.764,24,48
2015-03,99,45~176,¡º,50,144,57,1.761,26,58
2015-04,91,49~178,¡º,48,129,37,1.46,28,79
2015-05,88,38~190,¡º,44,118,33,0.758,27,110
2015-06,78,41~122,¡º,39,70,29,0.77,26,127
2015-07,74,34~127,¡º,38,76,31,0.645,28,122
2015-08,68,34~129,¡º,35,58,30,0.748,28,113
2015-09,57,33~115,¡º,31,53,33,0.783,31,89
2015-10,75,26~179,¡º,47,81,29,1.139,35,71
2015-11,109,38~268,«·∂»Œ€»æ,77,114,77,1.517,34,47
2015-12,104,31~218,«·∂»Œ€»æ,74,109,89,1.713,36,39
2016-01,67,38~296,¡º,42,72,60,1.642,24,43
2016-02,62,37~112,¡º,35,69,49,0.962,18,62
2016-03,89,33~190,¡º,54,117,52,1.613,28,78
2016-04,84,48~176,¡º,43,114,28,1.853,26,96
2016-05,83,44~181,¡º,37,99,23,0.971,26,125
2016-06,84,45~138,¡º,39,68,19,1.59,25,134
2016-07,70,33~120,¡º,36,59,15,1.087,21,113
2016-08,54,31~98,¡º,28,56,19,0.89,24,93
2016-09,57,17~95,¡º,33,63,20,0.84,22,82
2016-10,72,22~241,¡º,47,86,30,0.845,28,66
2016-11,94,30~358,¡º,67,102,64,1.013,34,51
2016-12,98,31~218,¡º,67,108,86,1.355,34,52
2017-01,96,39~339,¡º,65,109,74,1.203,32,69
2017-02,85,40~263,¡º,56,88,55,0.882,30,87
2017-03,73,44~185,¡º,46,79,39,0.729,29,105
2017-04,82,53~149,¡º,38,107,18,0.597,25,117
2017-05,112,37~283,«·∂»Œ€»æ,42,134,11,0.561,20,134
2017-06,83,37~172,¡º,28,62,13,0.603,23,136
2017-07,90,60~160,¡º,33,65,11,0.719,22,147
2017-08,61,26~113,¡º,25,48,12,0.584,21,108
2017-09,68,37~117,¡º,29,66,19,0.62,26,113
2017-10,70,25~185,¡º,43,73,23,0.745,35,84
2017-11,64,33~119,¡º,37,76,34,0.683,31,64
2017-12,69,34~148,¡º,46,73,51,0.942,32,55
2018-01,63,38~140,¡º,38,66,45,0.745,27,67
2018-02,69,38~139,¡º,45,67,46,0.732,22,83
2018-03,100,45~195,«·∂»Œ€»æ,64,106,41,0.787,28,106
2018-04,78,47~183,¡º,45,84,23,0.563,18,103
