‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,50,50~50,”≈,18,50,28,0.3,42,80
2015-01,108,35~241,«·∂»Œ€»æ,81,107,40,1.013,38,68
2015-02,80,32~178,¡º,57,79,33,0.85,27,77
2015-03,60,26~126,¡º,40,57,23,0.674,25,79
2015-04,81,36~146,¡º,53,82,32,0.563,32,109
2015-05,80,56~125,¡º,51,74,22,0.761,39,105
2015-06,61,24~102,¡º,33,54,27,0.723,37,97
2015-07,53,37~76,¡º,29,49,13,0.739,29,83
2015-08,61,30~94,¡º,39,68,18,0.626,35,79
2015-09,61,37~97,¡º,38,62,21,0.633,42,82
2015-10,83,43~149,¡º,57,77,28,0.858,44,85
2015-11,67,32~120,¡º,47,56,32,0.97,33,45
2015-12,115,55~262,«·∂»Œ€»æ,86,102,35,1.371,46,31
2016-01,112,38~245,«·∂»Œ€»æ,83,98,31,1.187,43,30
2016-02,107,35~210,«·∂»Œ€»æ,79,99,34,1.014,37,48
2016-03,107,39~229,«·∂»Œ€»æ,78,100,27,0.981,50,72
2016-04,85,48~150,¡º,62,99,15,0.84,38,65
2016-05,80,44~159,¡º,48,86,12,0.694,31,104
2016-06,62,40~96,¡º,33,50,13,0.6,29,107
2016-07,52,33~75,¡º,28,41,10,0.661,30,91
2016-08,72,39~132,¡º,33,55,17,0.9,32,120
2016-09,101,39~161,«·∂»Œ€»æ,52,81,16,0.827,39,145
2016-10,66,43~129,¡º,43,75,18,0.71,34,60
2016-11,111,40~231,«·∂»Œ€»æ,82,129,21,0.967,41,53
2016-12,155,58~240,÷–∂»Œ€»æ,117,164,22,1.277,49,50
2017-01,152,67~326,÷–∂»Œ€»æ,117,163,20,1.397,44,51
2017-02,141,54~219,«·∂»Œ€»æ,107,147,19,1.132,44,76
2017-03,106,60~169,«·∂»Œ€»æ,79,119,15,0.787,36,87
2017-04,96,48~159,¡º,62,114,12,0.753,33,109
2017-05,105,49~500,«·∂»Œ€»æ,64,120,10,0.661,32,131
2017-06,92,44~133,¡º,47,87,10,0.663,24,145
2017-07,58,28~118,¡º,29,61,9,0.539,22,94
2017-08,70,30~112,¡º,30,61,9,0.671,24,118
2017-09,68,33~124,¡º,37,68,10,0.767,28,108
2017-10,78,32~160,¡º,53,95,12,0.932,43,99
2017-11,116,59~245,«·∂»Œ€»æ,85,137,14,0.96,53,79
2017-12,139,52~282,«·∂»Œ€»æ,106,143,15,1.071,51,61
2018-01,133,52~254,«·∂»Œ€»æ,100,126,14,1.094,38,67
2018-02,98,38~173,¡º,70,112,11,0.796,30,77
2018-03,81,47~176,¡º,55,86,8,0.748,28,99
2018-04,83,54~108,¡º,45,107,7,0.65,22,111
