月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,81,81~81,良,56,113,14,1.5,23,112
2015-01,78,22~148,良,57,83,10,1.435,18,71
2015-02,78,31~146,良,56,75,7,0.957,12,54
2015-03,46,11~77,优,30,47,6,0.971,11,38
2015-04,52,22~85,良,32,55,5,0.687,8,49
2015-05,37,23~51,优,18,37,4,0.494,7,47
2015-06,29,17~41,优,12,29,6,0.5,7,42
2015-07,34,15~59,优,19,34,6,0.681,8,52
2015-08,47,18~117,优,24,41,5,0.729,12,83
2015-09,42,26~70,优,22,39,5,0.763,12,74
2015-10,61,30~100,良,39,65,5,0.739,15,93
2015-11,49,28~95,优,28,49,5,0.93,17,66
2015-12,50,18~114,良,32,53,5,0.955,19,54
2016-01,51,25~83,良,35,52,5,0.971,21,58
2016-02,64,21~145,良,45,64,5,0.862,17,66
2016-03,58,28~88,良,38,62,6,0.903,24,64
2016-04,50,33~74,优,29,52,8,0.87,20,55
2016-05,42,24~79,优,20,43,13,0.971,16,59
2016-06,33,21~46,优,15,29,13,0.887,14,60
2016-07,28,18~44,优,12,24,8,0.803,11,47
2016-08,38,22~73,优,19,30,7,0.748,14,73
2016-09,50,20~95,良,29,43,9,0.98,15,90
2016-10,54,23~86,良,33,49,11,0.919,15,93
2016-11,43,15~75,优,25,41,12,0.777,17,65
2016-12,68,35~97,良,47,69,16,0.865,21,91
2017-01,69,22~150,良,49,65,14,0.977,17,76
2017-02,62,38~110,良,42,55,13,0.739,15,83
2017-03,48,19~85,优,31,48,10,0.742,20,54
2017-04,50,30~102,良,26,43,10,0.63,19,85
2017-05,50,26~110,优,22,37,10,0.729,15,89
2017-06,31,20~48,优,13,28,9,0.667,14,59
2017-07,32,21~70,优,15,29,11,0.748,14,61
2017-08,36,23~73,优,15,32,11,0.748,14,65
2017-09,44,24~82,优,21,38,12,0.89,16,79
2017-10,68,31~182,良,36,55,13,0.965,19,115
2017-11,66,23~142,良,42,61,13,0.93,25,95
2017-12,77,27~137,良,54,73,14,0.99,30,96
2018-01,73,25~152,良,51,70,13,1.119,28,87
2018-02,73,25~188,良,52,76,12,0.971,22,89
2018-03,58,33~105,良,32,56,13,0.845,22,91
2018-04,63,44~97,良,35,74,13,0.713,17,98
