‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,130,130~130,«·∂»Œ€»æ,99,159,24,1.8,64,139
2014-01,96,54~171,¡º,71,107,14,1.429,38,119
2014-02,52,18~83,¡º,34,52,6,1.243,22,62
2014-03,63,26~135,¡º,43,65,11,1.132,32,59
2014-04,54,29~99,¡º,34,47,7,1.053,18,87
2014-05,39,18~96,”≈,20,33,6,0.968,12,66
2014-06,47,19~187,”≈,19,34,5,0.993,8,82
2014-07,34,18~62,”≈,15,28,3,0.79,8,65
2014-08,32,15~64,”≈,15,27,4,0.81,10,61
2014-09,52,22~116,¡º,26,41,5,0.917,11,89
2014-10,90,52~153,¡º,58,85,10,1.006,19,139
2014-11,72,34~123,¡º,51,73,12,1.047,24,94
2014-12,76,26~123,¡º,55,83,15,1.042,37,75
2015-01,71,28~112,¡º,50,77,10,1.081,32,104
2015-02,75,29~152,¡º,53,73,5,1.025,22,104
2015-03,54,21~96,¡º,34,48,6,0.997,24,74
2015-04,60,25~122,¡º,28,45,6,0.883,19,97
2015-05,39,22~112,”≈,16,28,3,0.777,8,73
2015-06,29,20~50,”≈,10,21,3,0.677,6,58
2015-07,49,23~119,”≈,19,32,4,1.048,11,90
2015-08,51,20~150,¡º,23,38,5,0.945,15,90
2015-09,66,27~168,¡º,30,44,6,1.1,13,110
2015-10,79,27~157,¡º,45,64,8,1.135,20,126
2015-11,67,24~110,¡º,42,61,13,1.103,23,102
2015-12,55,23~130,¡º,37,51,10,1.165,30,62
2016-01,59,28~128,¡º,36,48,7,1.274,35,65
2016-02,50,28~85,”≈,34,48,6,1.072,24,64
2016-03,58,28~99,¡º,38,53,6,1.223,27,75
2016-04,48,29~90,”≈,29,43,6,1.053,14,77
2016-05,52,25~132,¡º,24,40,5,0.971,13,85
2016-06,31,19~47,”≈,15,28,5,0.79,11,62
2016-07,38,20~117,”≈,18,31,5,0.777,11,66
2016-08,52,26~120,¡º,25,39,6,0.884,15,93
2016-09,62,24~150,¡º,32,48,9,1.103,19,107
2016-10,61,26~112,¡º,31,46,11,1.197,17,106
2016-11,61,28~108,¡º,36,51,10,1.233,22,88
2016-12,77,46~128,¡º,50,73,13,1.242,32,115
2017-01,71,30~140,¡º,45,63,8,1.21,22,105
2017-02,58,0~110,¡º,35,49,7,1.05,19,96
2017-03,64,34~117,¡º,40,63,7,1.165,28,82
2017-04,59,30~137,¡º,31,44,6,1.047,16,92
2017-05,65,27~160,¡º,29,42,7,0.948,13,109
2017-06,31,22~45,”≈,13,26,5,0.787,8,62
2017-07,40,23~131,”≈,15,27,5,0.903,14,74
2017-08,36,20~116,”≈,15,28,5,0.813,13,70
2017-09,50,22~112,¡º,22,37,6,0.917,15,89
2017-10,73,25~148,¡º,35,55,9,1.01,20,117
2017-11,79,36~146,¡º,50,76,11,1.087,26,99
2017-12,89,32~168,¡º,63,86,18,1.11,37,110
2018-01,76,27~144,¡º,52,62,10,0.974,31,91
2018-02,69,26~124,¡º,46,58,7,0.907,19,93
2018-03,60,29~129,¡º,31,46,8,0.887,17,104
2018-04,60,32~95,¡º,29,61,9,0.763,18,98
