‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,116,49~405,«·∂»Œ€»æ,84,109,132,1.683,38,38
2014-01,118,60~210,«·∂»Œ€»æ,72,173,155,1.923,44,30
2014-02,205,51~442,÷ÿ∂»Œ€»æ,155,266,112,2.504,54,30
2014-03,127,58~269,«·∂»Œ€»æ,80,190,77,1.542,44,42
2014-04,106,67~149,«·∂»Œ€»æ,64,154,29,1.307,35,53
2014-05,100,53~178,¡º,53,149,30,0.939,28,71
2014-06,90,51~170,¡º,57,123,31,0.943,25,84
2014-07,83,43~147,¡º,51,109,39,0.968,34,96
2014-08,84,34~140,¡º,50,113,56,1.019,40,97
2014-09,86,33~148,¡º,54,116,63,1.193,39,73
2014-10,134,24~380,«·∂»Œ€»æ,86,198,91,1.597,51,56
2014-11,120,50~224,«·∂»Œ€»æ,80,171,162,1.71,54,40
2014-12,100,60~245,«·∂»Œ€»æ,55,145,178,1.426,52,38
2015-01,105,35~204,«·∂»Œ€»æ,70,140,126,1.99,55,41
2015-02,93,44~226,¡º,58,119,72,1.679,43,57
2015-03,103,52~197,«·∂»Œ€»æ,58,150,56,1.684,45,63
2015-04,85,38~146,¡º,44,118,31,1.263,35,72
2015-05,84,53~125,¡º,43,111,48,1.023,46,105
2015-06,101,45~206,«·∂»Œ€»æ,46,103,32,0.943,36,155
2015-07,87,30~134,¡º,56,102,27,0.823,35,115
2015-08,58,34~85,¡º,32,66,24,0.771,24,84
2015-09,58,26~97,¡º,34,65,30,0.91,31,69
2015-10,64,33~112,¡º,33,76,42,1.026,41,58
2015-11,101,41~283,«·∂»Œ€»æ,73,113,99,1.803,47,26
2015-12,142,48~300,«·∂»Œ€»æ,100,198,125,1.774,45,34
2016-01,123,61~288,«·∂»Œ€»æ,85,155,113,1.79,48,41
2016-02,90,35~283,¡º,51,113,88,1.348,38,69
2016-03,113,64~200,«·∂»Œ€»æ,65,173,94,1.319,60,103
2016-04,92,47~131,¡º,44,123,42,1.113,44,122
2016-05,107,51~169,«·∂»Œ€»æ,49,131,46,1.168,43,151
2016-06,100,61~154,«·∂»Œ€»æ,42,100,34,1.207,37,154
2016-07,101,44~142,«·∂»Œ€»æ,66,125,24,1.332,32,138
2016-08,82,42~128,¡º,47,94,22,1.465,31,121
2016-09,76,39~118,¡º,35,88,34,1.553,45,109
2016-10,80,37~175,¡º,52,99,35,1.632,41,62
2016-11,133,44~266,«·∂»Œ€»æ,96,182,88,1.863,62,60
2016-12,136,58~243,«·∂»Œ€»æ,100,155,118,2.168,70,51
2017-01,152,51~319,÷–∂»Œ€»æ,115,170,115,2.174,66,63
2017-02,120,49~250,«·∂»Œ€»æ,85,146,89,1.857,56,95
2017-03,99,56~180,¡º,64,125,56,1.232,48,118
2017-04,99,66~236,¡º,54,132,41,0.94,46,131
2017-05,132,76~329,«·∂»Œ€»æ,47,133,23,1.058,43,178
2017-06,114,52~187,«·∂»Œ€»æ,49,102,23,1.09,47,171
2017-07,118,49~195,«·∂»Œ€»æ,51,98,20,1.31,35,174
2017-08,90,40~156,¡º,46,89,21,1.252,38,136
2017-09,102,65~152,«·∂»Œ€»æ,64,137,37,1.447,48,135
2017-10,89,30~169,¡º,63,104,28,1.255,44,70
2017-11,88,57~147,¡º,59,114,56,1.267,53,66
2017-12,95,45~192,¡º,64,112,84,1.429,57,56
2018-01,110,42~228,«·∂»Œ€»æ,80,130,68,1.616,58,52
2018-02,117,49~276,«·∂»Œ€»æ,81,139,66,1.561,45,87
2018-03,131,65~357,«·∂»Œ€»æ,88,165,37,1.461,50,108
2018-04,90,57~129,¡º,44,129,31,0.938,36,104
