‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,81,81~81,¡º,34,112,54,0.9,62,46
2015-01,81,52~102,¡º,39,111,36,1.177,46,44
2015-02,76,39~137,¡º,36,105,28,0.583,23,53
2015-03,254,121~461,÷ÿ∂»Œ€»æ,105,364,24,0.781,34,139
2015-04,220,94~384,÷ÿ∂»Œ€»æ,146,272,15,0.708,23,104
2015-05,148,54~500,«·∂»Œ€»æ,77,197,12,0.452,16,73
2015-06,120,57~473,«·∂»Œ€»æ,51,169,9,0.397,17,99
2015-07,134,72~228,«·∂»Œ€»æ,69,210,8,0.542,22,151
2015-08,162,53~500,÷–∂»Œ€»æ,75,211,7,1.094,24,128
2015-09,84,52~141,¡º,37,101,5,0.842,24,115
2015-10,115,63~233,«·∂»Œ€»æ,71,162,15,0.833,46,100
2015-11,112,77~149,«·∂»Œ€»æ,80,143,31,1.71,54,89
2015-12,112,46~172,«·∂»Œ€»æ,84,105,38,2.052,58,71
2016-01,126,95~195,«·∂»Œ€»æ,88,143,34,2.226,56,73
2016-02,171,66~500,÷–∂»Œ€»æ,96,256,23,2.09,40,80
2016-03,257,70~500,÷ÿ∂»Œ€»æ,139,686,16,1.381,37,98
2016-04,140,84~498,«·∂»Œ€»æ,68,202,9,0.62,29,142
2016-05,229,94~500,÷ÿ∂»Œ€»æ,134,316,7,0.439,26,153
2016-06,132,84~295,«·∂»Œ€»æ,75,175,7,0.36,31,171
2016-07,104,70~185,«·∂»Œ€»æ,66,137,6,0.335,23,129
2016-08,93,65~142,¡º,63,112,4,0.397,24,118
2016-09,93,59~325,¡º,41,130,4,0.377,23,102
2016-10,153,52~500,÷–∂»Œ€»æ,69,240,9,0.661,37,83
2016-11,161,109~255,÷–∂»Œ€»æ,105,261,23,1.62,55,57
2016-12,192,99~298,÷–∂»Œ€»æ,148,247,23,2.481,57,39
2017-01,146,105~204,«·∂»Œ€»æ,111,169,24,2.439,49,53
2017-02,189,54~500,÷–∂»Œ€»æ,99,335,19,1.793,37,69
2017-03,223,72~500,÷ÿ∂»Œ€»æ,107,376,14,1.148,33,96
2017-04,138,68~500,«·∂»Œ€»æ,65,210,9,0.553,20,121
2017-05,143,62~500,«·∂»Œ€»æ,80,208,8,0.648,23,130
2017-06,85,61~119,¡º,36,97,8,0.567,18,130
2017-07,83,60~115,¡º,30,91,6,0.642,18,134
2017-08,76,53~115,¡º,31,89,4,0.842,20,124
2017-09,107,64~296,«·∂»Œ€»æ,44,155,7,1.01,32,111
2017-10,156,87~333,÷–∂»Œ€»æ,66,248,8,0.948,35,74
2017-11,128,79~187,«·∂»Œ€»æ,81,200,14,1.653,55,58
2017-12,135,65~212,«·∂»Œ€»æ,92,195,17,2.148,56,47
2018-01,137,81~195,«·∂»Œ€»æ,77,223,14,1.861,44,66
2018-02,118,88~152,«·∂»Œ€»æ,65,186,11,1.443,31,87
2018-03,293,120~500,÷ÿ∂»Œ€»æ,118,605,10,1.045,35,95
2018-04,460,177~500,—œ÷ÿŒ€»æ,284,1240,7,0.738,28,97
