月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,42,42~42,优,15,30,30,2,28,83
2015-01,43,32~66,优,20,30,54,2.01,27,73
2015-02,46,37~53,优,16,28,33,1.293,17,90
2015-03,49,38~86,优,13,23,24,0.906,11,94
2015-04,52,40~73,良,12,30,11,0.743,7,100
2015-05,44,35~55,优,9,28,9,1.19,6,87
2015-06,60,44~75,良,9,27,13,0.883,7,111
2015-07,65,45~93,良,11,30,12,0.91,10,118
2015-08,57,39~76,良,11,37,15,0.684,16,105
2015-09,48,26~67,优,9,25,6,1.473,15,75
2015-10,36,25~44,优,12,25,6,0.858,21,66
2015-11,35,22~64,优,13,17,12,1.04,18,58
2015-12,50,22~73,良,20,21,25,1.297,39,52
2016-01,53,34~90,良,23,24,29,1.332,42,56
2016-02,48,33~78,优,20,27,28,0.962,36,60
2016-03,41,28~59,优,13,20,13,0.8,24,73
2016-04,52,39~92,良,7,15,5,0.453,13,99
2016-05,52,38~72,良,8,19,3,0.345,13,100
2016-06,53,41~76,良,8,15,8,0.47,12,101
2016-07,49,36~56,优,8,15,4,0.571,10,96
2016-08,50,31~67,优,8,27,5,0.568,9,96
2016-09,12,0~55,优,3,11,2,0.12,5,23
2016-10,24,0~51,优,8,17,7,0.5,14,40
2016-11,39,19~70,优,21,27,23,1.083,26,46
2016-12,53,30~82,良,25,29,34,1.371,39,56
2017-01,54,30~97,良,28,30,51,1.548,39,57
2017-02,46,32~68,优,21,29,35,1.464,32,68
2017-03,54,38~82,良,28,42,26,0.987,27,86
2017-04,50,26~81,优,9,23,6,0.47,8,95
2017-05,60,37~99,良,10,37,5,0.545,8,106
2017-06,56,40~65,良,8,23,3,0.42,11,105
2017-07,52,39~79,良,8,21,5,0.345,6,101
2017-08,47,30~62,优,8,22,4,0.452,12,92
2017-09,35,23~48,优,8,23,3,0.51,13,69
2017-10,40,0~54,优,8,22,3,0.4,14,78
2017-11,40,32~50,优,14,24,6,0.587,23,74
2017-12,51,35~84,良,20,32,12,0.748,32,88
2018-01,48,35~60,优,23,28,19,0.865,35,71
2018-02,50,43~65,良,15,21,21,0.586,29,95
2018-03,59,38~80,良,8,16,8,0.565,14,110
2018-04,57,0~73,良,6,19,4,0.225,6,103
