月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,53,53~53,良,33,55,3,1,23,69
2015-01,32,24~38,优,20,27,4,0.545,14,53
2015-02,32,23~53,优,16,30,9,0.311,9,52
2015-03,33,27~57,优,14,28,8,0.34,7,61
2015-04,40,33~53,优,16,34,7,0.437,7,76
2015-05,37,28~54,优,17,29,9,0.313,11,72
2015-06,35,21~49,优,22,28,11,0.39,9,58
2015-07,42,25~62,优,19,29,6,0.371,8,78
2015-08,44,35~65,优,26,39,5,0.407,8,70
2015-09,44,29~53,优,27,41,5,0.521,6,55
2015-10,39,29~78,优,19,37,7,0.38,11,67
2015-11,37,29~50,优,15,31,8,0.314,16,69
2015-12,43,32~52,优,19,41,6,0.371,18,66
2016-01,41,32~58,优,23,38,8,0.71,18,74
2016-02,49,35~73,优,22,42,8,1.024,12,88
2016-03,53,35~62,良,21,39,6,0.819,14,100
2016-04,62,46~87,良,19,37,8,0.6,12,113
2016-05,58,43~82,良,17,33,7,0.671,11,108
2016-06,53,26~95,良,18,31,6,0.567,10,97
2016-07,46,25~77,优,15,26,8,0.552,9,86
2016-08,50,24~70,优,16,31,13,0.874,11,94
2016-09,35,22~60,优,11,22,12,0.773,10,65
2016-10,36,20~47,优,15,31,12,0.442,13,64
2016-11,47,29~58,优,22,48,14,0.533,17,62
2016-12,50,32~78,良,26,53,15,0.726,20,62
2017-01,42,35~50,优,14,27,11,0.619,14,82
2017-02,46,40~56,优,14,28,7,0.471,7,91
2017-03,63,47~82,良,15,31,7,0.435,8,114
2017-04,57,40~85,良,13,27,8,0.467,8,106
2017-05,56,29~85,良,11,24,8,0.494,7,105
2017-06,42,25~97,优,7,14,7,0.52,7,81
2017-07,49,20~77,优,5,14,8,0.494,7,92
2017-08,38,25~65,优,5,13,7,0.494,8,74
2017-09,31,19~47,优,5,14,7,0.503,7,61
2017-10,30,18~40,优,7,21,7,0.445,9,58
2017-11,37,31~46,优,14,31,12,0.567,13,69
2017-12,45,34~84,优,21,46,15,0.719,17,62
2018-01,46,34~99,优,18,40,13,0.629,14,83
2018-02,52,41~74,良,15,33,9,0.625,7,98
2018-03,56,46~76,良,9,18,7,0.423,7,107
2018-04,68,55~92,良,13,47,8,0.4,8,116
