‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,54,54~54,¡º,36,59,20,1.8,18,73
2015-01,66,43~112,¡º,39,78,24,1.203,17,79
2015-02,82,46~146,¡º,40,108,14,0.786,10,93
2015-03,89,52~316,¡º,35,121,11,0.861,9,111
2015-04,82,53~212,¡º,39,104,7,1.67,8,113
2015-05,85,55~183,¡º,37,99,4,0.761,6,119
2015-06,96,60~124,¡º,40,92,6,0.793,6,143
2015-07,88,61~121,¡º,41,72,4,0.8,7,145
2015-08,88,59~156,¡º,33,95,6,0.745,8,135
2015-09,71,48~113,¡º,35,61,5,0.743,21,117
2015-10,63,42~100,¡º,31,66,8,0.71,17,103
2015-11,61,32~82,¡º,38,68,11,0.853,19,82
2015-12,59,37~159,¡º,36,63,15,0.613,21,86
2016-01,52,38~75,¡º,30,49,20,0.619,14,85
2016-02,69,43~152,¡º,33,82,16,0.666,11,96
2016-03,89,47~181,¡º,44,118,11,0.639,11,114
2016-04,77,56~106,¡º,27,62,7,0.47,9,130
2016-05,100,52~380,¡º,37,96,6,0.4,8,137
2016-06,88,39~139,¡º,26,62,7,0.463,8,137
2016-07,93,59~122,¡º,29,56,7,0.571,9,148
2016-08,78,46~130,¡º,31,51,8,0.652,10,131
2016-09,71,52~84,¡º,26,43,8,0.537,10,123
2016-10,68,49~121,¡º,30,72,12,0.506,11,111
2016-11,71,40~152,¡º,30,86,18,0.627,14,99
2016-12,61,45~122,¡º,36,67,20,0.79,20,94
2017-01,68,42~192,¡º,33,83,21,0.694,17,90
2017-02,71,47~198,¡º,39,85,19,0.657,12,100
2017-03,69,49~164,¡º,38,65,11,0.706,11,112
2017-04,85,48~198,¡º,35,86,10,0.61,10,126
2017-05,131,64~500,«·∂»Œ€»æ,57,161,9,0.461,8,138
2017-06,100,66~143,¡º,40,77,8,0.413,9,154
2017-07,92,55~144,¡º,34,69,9,0.432,9,148
2017-08,83,55~129,¡º,21,53,10,0.465,9,138
2017-09,73,50~99,¡º,26,56,10,0.46,9,126
2017-10,62,43~90,¡º,34,66,9,0.526,13,103
2017-11,61,44~98,¡º,32,70,11,0.677,14,94
2017-12,56,41~87,¡º,34,59,12,0.623,15,90
2018-01,66,43~109,¡º,42,75,14,0.768,16,84
2018-02,75,43~500,¡º,35,87,12,0.596,10,99
2018-03,112,59~500,«·∂»Œ€»æ,50,148,11,0.535,10,115
2018-04,176,70~498,÷–∂»Œ€»æ,55,239,10,0.55,9,119
