月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,38,38~38,优,20,29,10,0.4,5,76
2015-01,41,34~59,优,23,32,16,1.106,15,78
2015-02,47,35~79,优,19,42,16,1.921,11,83
2015-03,50,40~84,优,13,33,17,2.748,9,95
2015-04,64,44~79,良,22,31,13,2.69,7,116
2015-05,45,32~68,优,16,27,10,1.468,5,88
2015-06,43,33~53,优,13,27,11,0.437,4,84
2015-07,41,22~73,优,20,39,13,0.352,5,62
2015-08,30,20~46,优,12,21,13,0.294,4,54
2015-09,29,18~43,优,14,18,10,0.32,7,56
2015-10,32,22~46,优,21,29,8,0.384,10,39
2015-11,41,21~70,优,23,40,14,0.657,16,38
2015-12,50,22~74,优,26,50,25,0.903,29,38
2016-01,46,30~90,优,26,44,24,0.935,20,33
2016-02,36,20~52,优,21,34,17,0.752,12,38
2016-03,34,20~53,优,19,33,16,0.629,12,38
2016-04,34,18~63,优,18,34,10,0.45,9,44
2016-05,38,26~51,优,19,36,8,0.6,11,52
2016-06,45,25~75,优,18,45,6,0.523,10,55
2016-07,31,15~69,优,17,27,7,0.316,9,46
2016-08,37,17~100,优,11,20,7,0.277,27,36
2016-09,37,29~56,优,18,32,7,0.357,8,62
2016-10,45,27~68,优,20,48,10,0.484,13,51
2016-11,51,36~68,良,21,50,34,0.787,28,83
2016-12,51,37~66,良,21,48,36,0.813,25,83
2017-01,46,40~55,优,15,30,24,0.626,19,91
2017-02,49,35~70,优,13,28,21,0.6,17,95
2017-03,51,39~70,良,16,29,15,0.565,16,98
2017-04,62,40~101,良,16,35,11,0.65,12,113
2017-05,74,55~102,良,12,38,10,0.426,15,128
2017-06,84,44~128,良,10,25,9,0.373,13,140
2017-07,57,38~98,良,7,16,8,0.206,13,107
2017-08,66,39~100,良,7,16,7,0.19,12,118
2017-09,72,38~116,良,7,17,4,0.427,19,125
2017-10,55,41~75,良,11,30,14,0.423,20,105
2017-11,44,38~54,优,15,33,21,0.593,25,83
2017-12,47,32~95,优,26,48,22,0.658,24,70
2018-01,50,34~96,良,24,48,13,0.571,16,80
2018-02,44,32~105,优,16,41,19,0.536,16,75
2018-03,46,28~74,优,15,38,19,0.523,16,84
2018-04,50,41~64,优,19,48,12,0.513,15,88
