‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,117,117~117,«·∂»Œ€»æ,89,155,70,2,64,78
2015-01,97,49~209,¡º,72,107,37,1.429,36,62
2015-02,81,41~146,¡º,56,98,25,0.929,23,83
2015-03,74,40~275,¡º,48,85,15,0.739,23,94
2015-04,69,44~118,¡º,34,60,10,0.57,19,119
2015-05,70,47~124,¡º,34,62,12,0.529,18,119
2015-06,69,50~105,¡º,24,77,13,0.68,21,108
2015-07,70,50~157,¡º,27,53,17,0.574,18,119
2015-08,53,38~98,¡º,28,49,13,0.542,19,93
2015-09,48,32~63,”≈,30,44,13,0.75,22,73
2015-10,58,32~110,¡º,36,57,24,0.683,25,68
2015-11,48,32~68,”≈,21,45,26,1.057,34,41
2015-12,62,32~109,¡º,38,69,43,1.426,41,42
2016-01,66,32~100,¡º,45,68,43,1.271,42,49
2016-02,79,34~161,¡º,48,98,40,0.931,30,63
2016-03,65,32~158,¡º,37,77,25,0.71,27,75
2016-04,46,29~63,”≈,22,41,27,0.61,22,82
2016-05,54,34~111,¡º,31,57,23,0.613,18,85
2016-06,52,35~78,¡º,26,43,23,0.603,20,92
2016-07,49,0~74,”≈,22,29,19,0.713,16,93
2016-08,58,41~82,¡º,26,30,19,0.8,11,108
2016-09,60,32~205,¡º,31,42,20,0.85,18,101
2016-10,46,0~100,”≈,23,41,18,1.052,25,61
2016-11,73,45~107,¡º,45,94,35,1.407,36,56
2016-12,92,52~128,¡º,67,113,46,1.913,52,42
2017-01,92,42~263,¡º,61,115,35,1.603,41,47
2017-02,63,39~102,¡º,40,73,25,1.325,30,51
2017-03,53,32~81,¡º,28,60,18,1.11,29,54
2017-04,59,29~158,¡º,23,56,19,0.833,22,74
2017-05,75,38~120,¡º,24,54,17,0.69,17,122
2017-06,58,36~73,¡º,20,39,18,0.777,15,106
2017-07,58,30~90,¡º,18,31,13,0.445,12,104
2017-08,47,29~67,”≈,15,29,10,0.377,14,87
2017-09,40,28~60,”≈,18,36,12,0.467,20,70
2017-10,36,22~58,”≈,16,35,9,0.545,22,45
2017-11,66,53~80,¡º,36,82,26,1.01,34,56
2017-12,106,57~375,«·∂»Œ€»æ,70,139,39,1.713,54,47
2018-01,79,43~140,¡º,55,95,23,1.365,42,61
2018-02,74,47~120,¡º,43,93,17,0.811,30,84
2018-03,62,35~101,¡º,33,69,11,0.545,25,100
2018-04,77,60~107,¡º,31,98,17,0.375,19,113
