‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,115,115~115,«·∂»Œ€»æ,77,180,37,2.5,33,64
2015-01,169,68~293,÷–∂»Œ€»æ,129,194,33,3.465,42,59
2015-02,145,73~203,«·∂»Œ€»æ,109,171,20,2.186,25,69
2015-03,101,55~224,«·∂»Œ€»æ,73,128,18,2.106,22,85
2015-04,84,44~128,¡º,58,109,13,1.373,22,101
2015-05,92,48~178,¡º,64,101,15,1.265,15,109
2015-06,62,27~134,¡º,38,58,14,1.117,13,99
2015-07,67,41~92,¡º,37,56,11,0.942,12,115
2015-08,74,43~106,¡º,41,59,10,1.058,15,125
2015-09,83,46~125,¡º,49,73,11,1.11,21,134
2015-10,89,41~142,¡º,57,92,19,1.139,34,126
2015-11,65,32~89,¡º,46,73,9,1.37,33,44
2015-12,124,52~262,«·∂»Œ€»æ,94,122,15,1.429,43,48
2016-01,131,67~211,«·∂»Œ€»æ,98,144,23,1.768,42,47
2016-02,114,45~364,«·∂»Œ€»æ,83,126,18,1.693,33,88
2016-03,95,47~137,¡º,63,97,16,1.161,30,131
2016-04,76,33~128,¡º,35,63,11,0.893,20,126
2016-05,81,47~134,¡º,43,83,8,0.774,19,126
2016-06,66,39~98,¡º,38,64,7,0.697,15,112
2016-07,54,25~88,¡º,31,48,6,0.626,10,98
2016-08,72,32~118,¡º,36,60,8,0.839,13,122
2016-09,101,42~190,«·∂»Œ€»æ,56,92,13,0.923,26,147
2016-10,50,25~105,”≈,31,47,8,1.052,22,72
2016-11,83,33~208,¡º,60,93,11,1.423,30,66
2016-12,128,67~275,«·∂»Œ€»æ,97,140,13,1.506,41,59
2017-01,125,44~236,«·∂»Œ€»æ,93,132,13,1.374,34,75
2017-02,97,52~155,¡º,72,103,13,1.418,28,92
2017-03,87,40~176,¡º,61,95,13,1.7,28,105
2017-04,83,50~115,¡º,41,72,10,2.447,23,123
2017-05,100,58~205,«·∂»Œ€»æ,45,86,9,2.142,22,145
2017-06,77,40~146,¡º,38,57,6,0.92,21,129
2017-07,52,24~92,¡º,27,41,4,0.826,11,94
2017-08,57,25~95,¡º,31,42,4,0.971,13,104
2017-09,57,23~100,¡º,28,41,7,0.887,17,96
2017-10,50,22~90,”≈,30,48,7,0.887,16,85
2017-11,87,52~162,¡º,63,95,12,1.06,35,80
2017-12,111,51~208,«·∂»Œ€»æ,82,112,15,1.316,44,65
2018-01,105,54~201,«·∂»Œ€»æ,78,108,10,1.268,34,65
2018-02,91,31~143,¡º,65,107,11,1.218,29,81
2018-03,70,36~112,¡º,46,71,9,1.097,23,101
2018-04,82,37~102,¡º,43,101,8,0.85,20,112
