‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,84,84~84,¡º,62,105,17,1.3,33,27
2015-01,96,44~169,¡º,71,119,13,1.435,22,31
2015-02,73,34~129,¡º,51,90,13,1.371,18,34
2015-03,68,31~105,¡º,45,83,13,1.635,21,33
2015-04,58,28~85,¡º,35,69,14,0.78,23,53
2015-05,52,23~85,¡º,31,57,10,0.668,23,54
2015-06,41,19~62,”≈,23,40,8,0.663,21,59
2015-07,36,17~53,”≈,19,35,9,0.665,20,53
2015-08,42,28~62,”≈,15,32,11,0.761,25,69
2015-09,39,24~68,”≈,18,30,9,0.847,28,46
2015-10,58,30~118,¡º,37,64,11,1.174,30,57
2015-11,59,37~104,¡º,34,66,17,1.537,35,61
2015-12,78,33~166,¡º,54,100,17,1.081,36,40
2016-01,77,41~130,¡º,55,94,13,1.419,34,38
2016-02,73,34~130,¡º,50,88,8,1.121,28,62
2016-03,70,34~122,¡º,44,85,6,1.235,28,88
2016-04,54,37~98,¡º,31,54,6,1.187,25,91
2016-05,57,27~97,¡º,35,63,8,0.977,25,45
2016-06,58,34~140,¡º,23,41,25,0.507,23,91
2016-07,73,45~107,¡º,17,32,22,0.497,17,125
2016-08,61,43~110,¡º,24,40,21,0.748,19,102
2016-09,55,29~106,¡º,21,38,24,0.687,21,97
2016-10,70,35~118,¡º,45,72,16,0.758,32,95
2016-11,95,56~144,¡º,70,119,14,0.81,37,83
2016-12,119,63~192,«·∂»Œ€»æ,90,133,14,1.029,37,60
2017-01,136,55~261,«·∂»Œ€»æ,103,148,15,1.084,39,65
2017-02,98,51~200,¡º,72,103,13,0.943,36,83
2017-03,70,47~103,¡º,49,67,11,0.813,37,85
2017-04,65,39~119,¡º,42,62,9,0.67,29,95
2017-05,64,34~119,¡º,38,64,6,0.594,28,101
2017-06,58,38~86,¡º,37,49,8,0.537,24,87
2017-07,81,46~135,¡º,30,43,14,0.468,20,132
2017-08,63,41~95,¡º,26,33,16,0.49,24,114
2017-09,53,38~80,¡º,29,42,17,0.607,24,98
2017-10,48,30~67,”≈,25,42,7,0.703,25,78
2017-11,78,38~152,¡º,57,88,10,0.747,25,81
2017-12,108,50~215,«·∂»Œ€»æ,79,121,11,0.903,31,89
2018-01,104,43~221,«·∂»Œ€»æ,78,113,11,1.061,30,70
2018-02,99,45~178,¡º,73,105,17,0.843,24,79
2018-03,75,38~132,¡º,54,76,14,0.635,22,87
2018-04,60,50~85,¡º,37,62,18,0.463,20,101
