‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,147,71~292,«·∂»Œ€»æ,103,211,98,1.393,59,31
2014-01,130,41~272,«·∂»Œ€»æ,96,166,65,1.306,52,59
2014-02,90,35~201,¡º,62,99,47,1.089,40,79
2014-03,97,57~199,¡º,66,132,43,1.123,53,101
2014-04,88,51~183,¡º,52,108,25,0.807,38,122
2014-05,97,46~152,¡º,52,121,25,0.694,34,146
2014-06,77,51~123,¡º,38,78,16,0.523,22,127
2014-07,83,37~153,¡º,45,88,17,0.639,26,130
2014-08,82,41~170,¡º,38,83,21,0.69,33,134
2014-09,75,51~111,¡º,31,71,20,0.683,33,123
2014-10,81,46~136,¡º,42,94,21,0.748,38,121
2014-11,100,50~204,«·∂»Œ€»æ,70,124,38,1.923,54,69
2014-12,97,57~261,¡º,68,121,58,1.11,58,51
2015-01,104,48~234,«·∂»Œ€»æ,73,122,47,1.258,47,58
2015-02,99,49~193,¡º,67,126,40,1.171,39,78
2015-03,86,49~168,¡º,54,114,26,0.958,37,100
2015-04,89,56~185,¡º,48,103,22,0.877,33,132
2015-05,79,54~132,¡º,35,87,21,0.781,31,130
2015-06,86,43~183,¡º,35,75,22,0.82,27,139
2015-07,61,29~139,¡º,31,68,20,0.655,20,103
2015-08,68,39~147,¡º,35,74,19,0.623,24,104
2015-09,61,41~103,¡º,27,64,21,0.61,30,105
2015-10,79,52~130,¡º,45,94,21,0.758,32,106
2015-11,84,40~201,¡º,59,92,22,0.973,35,66
2015-12,136,44~354,«·∂»Œ€»æ,103,150,47,1.465,47,53
2016-01,113,47~306,«·∂»Œ€»æ,82,128,45,1.248,39,58
2016-02,85,36~185,¡º,58,99,34,1.028,34,80
2016-03,81,49~157,¡º,49,104,24,0.819,40,101
2016-04,97,47~344,¡º,52,129,23,0.867,41,117
2016-05,80,48~157,¡º,41,92,18,0.706,36,122
2016-06,66,34~142,¡º,27,54,13,0.553,27,118
2016-07,57,25~89,¡º,27,56,9,0.526,21,99
2016-08,51,29~104,¡º,17,44,10,0.471,20,89
2016-09,84,41~150,¡º,31,68,14,0.583,23,136
2016-10,62,37~90,¡º,30,67,16,0.632,29,95
2016-11,75,33~138,¡º,50,89,25,0.813,40,72
2016-12,100,44~249,¡º,71,112,28,1.103,50,58
2017-01,100,40~299,¡º,71,112,31,1.232,45,62
2017-02,80,45~209,¡º,54,88,26,0.857,37,83
2017-03,72,54~93,¡º,44,79,18,0.7,38,104
2017-04,83,58~129,¡º,42,93,17,0.66,41,132
2017-05,99,42~199,¡º,37,100,13,0.587,29,138
2017-06,78,44~185,¡º,23,54,10,0.453,26,131
2017-07,75,30~144,¡º,28,68,10,0.61,26,126
2017-08,73,33~148,¡º,18,45,8,0.558,25,123
2017-09,93,47~158,¡º,23,57,10,0.607,31,147
2017-10,67,37~108,¡º,27,66,11,0.655,44,102
2017-11,77,43~130,¡º,41,96,14,0.74,51,74
2017-12,95,49~176,¡º,59,117,20,1.019,61,50
2018-01,102,45~246,«·∂»Œ€»æ,69,121,19,1.045,57,56
2018-02,71,47~135,¡º,42,78,15,0.775,38,85
2018-03,76,36~142,¡º,48,87,12,0.687,37,108
2018-04,75,55~110,¡º,36,98,10,0.5,33,104
