‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,97,97~97,¡º,43,144,59,2.4,33,34
2014-01,99,53~213,¡º,69,119,83,2.858,30,45
2014-02,142,58~323,«·∂»Œ€»æ,107,172,115,3.511,35,60
2014-03,112,54~273,«·∂»Œ€»æ,82,142,78,1.861,40,91
2014-04,105,71~195,«·∂»Œ€»æ,71,147,41,1.42,39,121
2014-05,86,45~195,¡º,51,103,21,1.342,30,125
2014-06,88,51~185,¡º,59,96,18,1.96,28,113
2014-07,87,52~174,¡º,56,89,15,1.632,21,122
2014-08,87,41~171,¡º,53,93,22,1.471,25,127
2014-09,74,51~133,¡º,43,90,24,1.39,38,97
2014-10,116,58~266,«·∂»Œ€»æ,85,142,36,1.657,41,89
2014-11,127,57~402,«·∂»Œ€»æ,95,149,74,1.837,45,50
2014-12,92,54~258,¡º,64,104,85,1.832,38,36
2015-01,120,53~328,«·∂»Œ€»æ,90,131,106,2.006,52,35
2015-02,116,49~313,«·∂»Œ€»æ,85,134,84,1.689,47,50
2015-03,96,53~165,¡º,66,122,52,1.458,37,77
2015-04,89,56~129,¡º,58,108,28,1.803,32,96
2015-05,89,40~158,¡º,41,84,22,1.184,28,135
2015-06,81,47~128,¡º,43,69,14,1.077,24,134
2015-07,78,36~135,¡º,42,67,16,1.332,25,127
2015-08,81,38~154,¡º,46,70,16,1.506,24,128
2015-09,77,42~112,¡º,44,81,23,1.34,34,108
2015-10,88,41~242,¡º,60,103,28,1.4,40,78
2015-11,169,57~500,÷–∂»Œ€»æ,145,188,79,2.003,55,44
2015-12,138,51~329,«·∂»Œ€»æ,105,152,98,2.103,46,38
2016-01,108,52~247,«·∂»Œ€»æ,79,125,98,1.855,47,41
2016-02,82,57~214,¡º,55,96,75,1.552,37,56
2016-03,97,51~191,¡º,65,127,54,1.242,37,88
2016-04,85,54~158,¡º,50,108,25,1.063,31,104
2016-05,80,41~120,¡º,41,78,23,1.371,32,125
2016-06,73,40~129,¡º,42,62,15,1.217,25,120
2016-07,73,32~107,¡º,41,57,8,1.1,21,117
2016-08,64,30~93,¡º,38,59,10,1.326,28,103
2016-09,64,29~108,¡º,42,62,14,1.167,28,96
2016-10,80,43~251,¡º,57,90,23,1.303,38,67
2016-11,102,51~271,«·∂»Œ€»æ,75,114,60,1.353,43,50
2016-12,109,53~273,«·∂»Œ€»æ,79,130,67,1.565,43,46
2017-01,122,59~248,«·∂»Œ€»æ,89,150,77,1.897,53,51
2017-02,96,48~200,¡º,68,116,55,1.471,41,73
2017-03,104,54~176,«·∂»Œ€»æ,76,128,52,1.481,47,106
2017-04,81,50~144,¡º,43,95,20,1.137,34,121
2017-05,96,52~179,¡º,32,78,12,0.961,24,142
2017-06,100,52~203,«·∂»Œ€»æ,36,68,16,1.237,29,155
2017-07,91,51~190,¡º,31,51,10,1.2,27,144
2017-08,59,33~123,¡º,22,40,9,1.323,25,104
2017-09,70,41~112,¡º,32,55,14,1.287,33,116
2017-10,72,33~127,¡º,46,77,17,1.377,38,78
2017-11,61,40~119,¡º,38,67,36,1.25,34,58
2017-12,91,47~230,¡º,62,101,50,1.835,44,48
2018-01,71,47~122,¡º,47,82,46,1.661,44,51
2018-02,84,57~152,¡º,59,97,44,1.657,41,67
2018-03,83,44~156,¡º,57,96,31,1.416,40,94
2018-04,75,55~110,¡º,46,93,17,1.3,30,89
