‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,117,19~213,«·∂»Œ€»æ,88,116,50,1.763,47,83
2014-01,143,44~283,«·∂»Œ€»æ,109,139,48,2.742,58,81
2014-02,60,24~117,¡º,43,54,27,2.296,31,56
2014-03,69,16~138,¡º,51,65,38,1.668,37,59
2014-04,66,29~109,¡º,47,65,35,2.057,30,86
2014-05,46,25~76,”≈,31,44,27,1.716,25,70
2014-06,57,25~109,¡º,36,54,22,1.377,22,89
2014-07,76,22~138,¡º,32,52,27,0.977,22,129
2014-08,74,28~144,¡º,31,52,32,0.942,23,126
2014-09,68,26~145,¡º,33,52,29,1.15,22,116
2014-10,94,50~147,¡º,67,97,39,1.381,32,141
2014-11,79,23~137,¡º,58,79,34,1.22,32,74
2014-12,62,31~101,¡º,43,65,31,1.071,37,72
2015-01,69,25~181,¡º,49,71,31,1.232,43,70
2015-02,69,21~142,¡º,50,72,22,1.164,30,65
2015-03,41,17~81,”≈,25,39,16,1.077,24,54
2015-04,63,20~136,¡º,34,53,19,0.96,28,104
2015-05,42,20~83,”≈,20,33,18,0.939,23,77
2015-06,53,26~88,¡º,20,35,20,0.803,20,98
2015-07,51,26~117,¡º,26,41,19,0.771,16,94
2015-08,67,33~139,¡º,33,49,19,0.855,18,114
2015-09,63,23~117,¡º,39,57,16,1.027,19,108
2015-10,67,25~92,¡º,43,66,19,1.052,26,101
2015-11,49,22~112,”≈,31,49,16,1.093,26,52
2015-12,53,22~138,¡º,35,50,15,1.113,25,46
2016-01,51,29~104,¡º,34,48,15,1.303,26,54
2016-02,58,24~172,¡º,39,61,14,1.052,22,74
2016-03,66,28~149,¡º,41,64,21,1.332,35,78
2016-04,51,36~110,¡º,30,48,17,1.09,29,71
2016-05,53,28~86,¡º,31,50,18,0.961,26,85
2016-06,60,32~120,¡º,23,41,18,0.99,23,104
2016-07,64,30~155,¡º,27,48,17,0.855,21,109
2016-08,53,24~111,¡º,24,43,14,0.929,17,96
2016-09,64,25~132,¡º,36,54,13,0.943,19,109
2016-10,48,25~82,”≈,28,44,12,1.035,18,79
2016-11,57,25~128,¡º,36,56,16,1.153,35,76
2016-12,74,35~117,¡º,53,74,17,1.265,39,78
2017-01,79,33~188,¡º,57,74,16,1.352,34,75
2017-02,61,27~97,¡º,43,59,17,1.075,31,86
2017-03,54,29~110,¡º,32,52,16,1.058,35,63
2017-04,70,27~123,¡º,38,63,21,1.017,35,96
2017-05,78,39~153,¡º,39,59,18,0.974,34,123
2017-06,51,33~81,¡º,25,40,18,0.95,23,90
2017-07,59,27~140,¡º,27,43,19,0.852,22,103
2017-08,73,23~158,¡º,30,46,16,0.758,22,124
2017-09,76,41~150,¡º,38,54,18,0.79,24,128
2017-10,59,24~104,¡º,34,46,16,0.784,22,104
2017-11,61,28~108,¡º,42,56,16,0.92,28,75
2017-12,77,27~133,¡º,55,75,20,1.052,41,89
2018-01,77,30~163,¡º,54,71,19,1.274,40,67
2018-02,73,25~220,¡º,51,66,16,0.982,30,88
2018-03,68,28~116,¡º,41,57,17,0.984,35,103
2018-04,87,42~119,¡º,48,81,21,0.888,33,137
