‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,147,147~147,«·∂»Œ€»æ,113,209,43,2.9,43,63
2014-01,175,59~461,÷–∂»Œ€»æ,139,191,36,2.342,44,45
2014-02,95,20~243,¡º,71,100,27,1.432,28,48
2014-03,93,56~151,¡º,69,107,27,1.183,34,67
2014-04,78,44~119,¡º,55,93,20,1.033,25,64
2014-05,117,59~295,«·∂»Œ€»æ,83,163,28,1.39,28,87
2014-06,103,37~180,«·∂»Œ€»æ,76,115,27,1.54,22,96
2014-07,78,32~135,¡º,55,86,10,1.171,15,65
2014-08,67,38~112,¡º,46,75,9,1.055,18,56
2014-09,70,37~116,¡º,46,74,21,1.053,27,89
2014-10,86,54~152,¡º,60,105,28,1.142,42,69
2014-11,80,37~150,¡º,58,76,28,1.483,42,42
2014-12,76,36~120,¡º,54,83,44,1.177,46,32
2015-01,136,48~266,«·∂»Œ€»æ,103,133,38,1.8,47,34
2015-02,97,30~205,¡º,72,95,27,1.393,32,46
2015-03,75,36~186,¡º,54,73,20,1.068,32,51
2015-04,73,39~105,¡º,51,84,24,1.17,38,67
2015-05,76,51~131,¡º,54,82,21,1.152,33,91
2015-06,71,32~139,¡º,45,70,17,1.13,29,104
2015-07,66,38~130,¡º,41,61,15,1.158,27,104
2015-08,75,28~155,¡º,42,69,19,1.348,23,124
2015-09,71,48~104,¡º,41,70,18,1.477,22,118
2015-10,94,36~228,¡º,68,110,22,1.61,35,101
2015-11,80,31~163,¡º,58,81,20,1.63,35,49
2015-12,130,63~258,«·∂»Œ€»æ,97,133,26,1.926,45,40
2016-01,103,43~210,«·∂»Œ€»æ,75,107,24,1.858,40,46
2016-02,87,41~166,¡º,62,88,24,1.803,33,68
2016-03,101,30~200,«·∂»Œ€»æ,74,104,24,1.368,43,66
2016-04,69,42~119,¡º,47,77,18,1.1,33,103
2016-05,82,43~169,¡º,47,77,17,1.106,30,118
2016-06,68,34~111,¡º,35,50,14,1.04,25,114
2016-07,73,24~142,¡º,34,53,15,0.974,22,114
2016-08,92,34~187,¡º,30,58,16,0.965,24,146
2016-09,85,25~152,¡º,37,63,17,0.98,26,134
2016-10,50,26~100,¡º,28,46,19,1.026,30,66
2016-11,70,33~120,¡º,47,79,22,1.257,46,55
2016-12,99,42~159,¡º,72,114,27,1.581,53,53
2017-01,94,38~210,¡º,67,100,18,1.355,43,56
2017-02,99,45~145,¡º,73,98,19,1.446,43,80
2017-03,84,55~128,¡º,61,91,18,1.061,49,86
2017-04,90,55~140,¡º,50,93,17,1.023,47,125
2017-05,115,46~190,«·∂»Œ€»æ,44,80,15,0.955,31,170
2017-06,102,29~173,«·∂»Œ€»æ,38,61,10,0.863,24,156
2017-07,88,24~204,¡º,28,58,11,0.858,24,139
2017-08,71,32~161,¡º,25,54,12,0.987,22,121
2017-09,77,36~148,¡º,31,63,14,1.137,30,115
2017-10,70,34~130,¡º,38,76,19,1.068,41,101
2017-11,91,44~139,¡º,62,115,22,1.13,54,73
2017-12,119,50~287,«·∂»Œ€»æ,89,130,29,1.39,63,50
2018-01,124,35~265,«·∂»Œ€»æ,92,109,22,1.329,53,57
2018-02,96,32~206,¡º,69,97,19,1.043,45,76
2018-03,75,40~124,¡º,50,80,17,1.09,44,101
2018-04,88,45~128,¡º,39,101,18,1.038,37,123
