‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,81,61~161,¡º,0,93,64,0,30,0
2013-06,88,44~401,¡º,0,116,39,0,33,0
2013-07,48,25~100,”≈,0,54,11,0,25,0
2013-08,48,27~69,”≈,0,50,19,0,27,0
2013-09,60,37~136,¡º,0,67,31,0,31,0
2013-10,104,43~163,«·∂»Œ€»æ,0,157,41,0,38,0
2013-11,82,51~123,¡º,0,108,53,0,32,0
2013-12,222,91~421,÷ÿ∂»Œ€»æ,172,212,103,2.79,76,51
2014-01,238,93~403,÷ÿ∂»Œ€»æ,192,258,60,3.023,66,65
2014-02,164,74~284,÷–∂»Œ€»æ,125,164,34,1.821,31,68
2014-03,128,72~218,«·∂»Œ€»æ,95,167,40,1.132,41,105
2014-04,113,71~217,«·∂»Œ€»æ,79,134,67,0.89,43,119
2014-05,114,72~210,«·∂»Œ€»æ,73,141,59,0.739,36,143
2014-06,111,39~217,«·∂»Œ€»æ,70,102,67,0.793,28,134
2014-07,73,40~156,¡º,46,76,40,0.739,21,106
2014-08,79,51~119,¡º,55,92,33,0.797,21,90
2014-09,69,24~144,¡º,45,66,34,0.79,20,68
2014-10,131,54~237,«·∂»Œ€»æ,96,145,45,1.106,34,121
2014-11,137,60~421,«·∂»Œ€»æ,102,162,51,1.06,44,66
2014-12,86,50~139,¡º,55,104,61,1,36,65
2015-01,147,65~270,«·∂»Œ€»æ,112,169,55,1.465,49,57
2015-02,114,60~190,«·∂»Œ€»æ,84,129,50,1.096,32,72
2015-03,98,57~176,¡º,71,117,38,0.768,34,82
2015-04,106,57~192,«·∂»Œ€»æ,74,129,52,0.943,30,116
2015-05,116,64~179,«·∂»Œ€»æ,78,143,43,0.89,22,146
2015-06,97,34~208,¡º,48,104,38,0.657,21,136
2015-07,81,43~164,¡º,46,84,21,0.616,23,117
2015-08,81,51~135,¡º,42,86,36,0.568,24,124
2015-09,89,51~165,¡º,57,96,30,0.673,25,117
2015-10,121,55~242,«·∂»Œ€»æ,85,150,56,0.874,45,116
2015-11,104,53~228,«·∂»Œ€»æ,77,117,35,1.08,46,54
2015-12,156,48~351,÷–∂»Œ€»æ,118,183,44,1.2,57,54
2016-01,164,68~334,÷–∂»Œ€»æ,126,192,60,1.384,55,50
2016-02,128,46~233,«·∂»Œ€»æ,88,144,67,1.128,37,84
2016-03,124,65~276,«·∂»Œ€»æ,84,165,39,1.035,46,115
2016-04,91,64~149,¡º,54,117,35,0.993,37,122
2016-05,95,45~154,¡º,46,109,24,0.635,28,142
2016-06,82,0~126,¡º,43,85,22,0.65,26,131
2016-07,64,26~108,¡º,31,57,12,0.532,23,109
2016-08,81,42~130,¡º,39,73,17,0.619,25,131
2016-09,97,54~142,¡º,43,102,26,0.893,39,144
2016-10,66,33~118,¡º,43,73,18,0.771,37,62
2016-11,117,58~233,«·∂»Œ€»æ,86,142,21,1.09,45,58
2016-12,159,68~462,÷–∂»Œ€»æ,125,181,30,1.5,57,56
2017-01,146,63~255,«·∂»Œ€»æ,110,164,25,1.597,48,59
2017-02,112,57~180,«·∂»Œ€»æ,83,133,28,1.268,43,85
2017-03,105,63~182,«·∂»Œ€»æ,72,131,29,0.971,45,91
2017-04,86,56~120,¡º,46,104,22,1.13,39,109
2017-05,124,52~468,«·∂»Œ€»æ,45,119,18,0.865,31,154
2017-06,119,46~207,«·∂»Œ€»æ,40,86,14,0.767,33,176
2017-07,77,30~190,¡º,26,52,6,0.713,17,126
2017-08,87,25~142,¡º,28,60,8,0.981,18,141
2017-09,75,25~128,¡º,36,61,9,0.813,22,120
2017-10,74,33~120,¡º,53,86,9,0.826,34,92
2017-11,106,61~219,«·∂»Œ€»æ,76,136,16,0.81,50,80
2017-12,127,48~308,«·∂»Œ€»æ,94,146,16,0.913,52,67
2018-01,137,53~274,«·∂»Œ€»æ,103,150,13,1.177,45,69
2018-02,111,63~193,«·∂»Œ€»æ,77,139,16,1.079,40,83
2018-03,98,55~143,¡º,69,118,16,1.139,41,105
2018-04,97,63~144,¡º,52,141,15,1,35,110
