月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,55,55~55,良,18,60,19,1.1,10,38
2015-01,58,20~150,良,25,74,38,1.729,18,41
2015-02,53,27~85,良,21,59,50,1.418,21,60
2015-03,46,18~100,优,18,50,42,1.49,19,64
2015-04,67,35~120,良,34,84,26,0.623,27,90
2015-05,49,28~121,优,21,53,17,0.406,16,76
2015-06,49,30~83,优,20,39,11,0.443,16,93
2015-07,49,29~77,优,21,43,8,0.51,18,87
2015-08,39,21~54,优,19,35,10,0.552,15,66
2015-09,49,24~77,优,21,54,15,0.563,19,66
2015-10,59,26~135,良,34,71,26,0.99,25,63
2015-11,93,24~316,良,68,100,31,1.647,30,57
2015-12,53,23~108,良,32,45,32,1.752,32,48
2016-01,38,27~76,优,21,31,24,0.952,24,55
2016-02,51,30~110,良,30,47,25,1.728,21,66
2016-03,61,32~132,良,35,71,28,1.439,17,67
2016-04,46,27~77,优,22,46,25,1.03,14,64
2016-05,37,24~60,优,16,35,24,0.819,15,62
2016-06,35,23~51,优,14,29,29,0.813,11,53
2016-07,41,23~66,优,13,32,12,0.842,19,77
2016-08,41,20~55,优,15,38,13,0.929,19,75
2016-09,46,26~79,优,17,48,7,0.763,21,64
2016-10,57,23~114,良,31,69,10,0.897,22,59
2016-11,84,32~186,良,61,86,20,1.16,27,57
2016-12,88,31~320,良,62,99,29,1.452,27,47
2017-01,80,30~202,良,54,97,22,1.49,23,54
2017-02,66,34~179,良,41,74,13,0.864,18,70
2017-03,79,32~249,良,55,86,11,0.855,20,78
2017-04,72,30~185,良,47,90,11,0.717,20,83
2017-05,65,33~235,良,30,80,5,0.458,17,86
2017-06,49,25~81,优,24,50,4,0.417,16,78
2017-07,51,35~70,良,27,54,3,0.277,15,75
2017-08,44,26~62,优,22,45,3,0.313,13,50
2017-09,48,29~68,优,21,51,3,0.393,16,54
2017-10,86,26~309,良,61,98,6,0.771,28,51
2017-11,90,28~263,良,64,94,8,0.8,26,45
2017-12,88,30~190,良,63,83,16,1.006,29,47
2018-01,73,25~233,良,53,69,14,0.858,27,53
2018-02,82,32~215,良,60,83,15,0.825,25,64
2018-03,78,38~206,良,54,77,11,0.758,26,81
2018-04,77,38~127,良,52,81,5,0.513,16,90
