‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,74,43~95,¡º,0,98,21,0,38,0
2013-06,97,42~183,¡º,0,143,22,0,33,0
2013-07,82,50~124,¡º,0,114,21,0,35,0
2013-08,67,38~145,¡º,0,79,26,0,30,0
2013-09,61,37~96,¡º,0,72,31,0,36,0
2013-10,80,51~134,¡º,0,110,29,0,37,0
2013-11,222,15~500,÷ÿ∂»Œ€»æ,15326,162,40,1.613,24,33
2013-12,254,13~500,÷ÿ∂»Œ€»æ,233,126,83,4.461,50,49
2014-01,139,60~348,«·∂»Œ€»æ,101,151,101,3.052,47,30
2014-02,105,57~231,«·∂»Œ€»æ,69,123,90,2.256,41,29
2014-03,112,65~222,«·∂»Œ€»æ,71,163,68,1.829,44,58
2014-04,101,68~185,«·∂»Œ€»æ,68,137,73,1.99,37,78
2014-05,91,63~139,¡º,62,98,50,1.235,36,96
2014-06,111,55~248,«·∂»Œ€»æ,82,82,62,1.55,30,94
2014-07,95,50~171,¡º,59,73,31,1.206,27,130
2014-08,65,34~138,¡º,41,60,27,1.087,28,61
2014-09,73,36~137,¡º,47,82,27,0.72,31,71
2014-10,110,42~273,«·∂»Œ€»æ,79,133,37,0.997,40,64
2014-11,139,48~335,«·∂»Œ€»æ,104,163,61,2.547,51,41
2014-12,93,52~178,¡º,62,107,70,1.906,48,31
2015-01,138,50~353,«·∂»Œ€»æ,102,147,82,1.913,81,31
2015-02,110,58~229,«·∂»Œ€»æ,77,148,62,1.996,52,62
2015-03,97,54~159,¡º,56,144,51,1.468,52,78
2015-04,86,47~134,¡º,49,115,43,1.04,54,95
2015-05,91,52~139,¡º,60,108,41,1.284,48,116
2015-06,88,48~176,¡º,49,88,34,1.21,41,134
2015-07,93,58~213,¡º,61,91,17,0.606,24,122
2015-08,76,52~99,¡º,45,91,19,1.084,27,111
2015-09,78,47~115,¡º,41,91,27,1.17,45,111
2015-10,92,53~188,¡º,55,124,41,1.542,51,80
2015-11,127,37~260,«·∂»Œ€»æ,95,130,50,1.84,51,45
2015-12,191,39~424,÷–∂»Œ€»æ,152,207,65,2.79,75,43
2016-01,157,60~431,÷–∂»Œ€»æ,116,186,79,2.89,79,36
2016-02,111,37~199,«·∂»Œ€»æ,74,142,63,3.045,64,63
2016-03,118,59~236,«·∂»Œ€»æ,79,174,63,1.977,65,106
2016-04,98,52~143,¡º,65,132,44,1.063,53,108
2016-05,81,50~112,¡º,45,81,30,0.981,46,120
2016-06,93,58~162,¡º,46,79,24,1.207,41,146
2016-07,89,55~136,¡º,44,84,20,1.535,31,133
2016-08,76,43~119,¡º,30,53,27,1.413,27,128
2016-09,96,52~155,¡º,44,90,33,1.457,43,142
2016-10,79,50~145,¡º,42,100,26,1.684,48,68
2016-11,162,49~338,÷–∂»Œ€»æ,125,212,45,2.643,57,46
2016-12,205,95~462,÷ÿ∂»Œ€»æ,164,231,60,3.642,69,37
2017-01,192,54~299,÷–∂»Œ€»æ,150,217,62,3.945,63,44
2017-02,129,59~349,«·∂»Œ€»æ,96,159,47,2.368,50,75
2017-03,89,56~144,¡º,59,115,29,1.271,46,93
2017-04,90,50~135,¡º,49,116,29,1.203,44,114
2017-05,130,57~307,«·∂»Œ€»æ,46,139,28,1.171,38,172
2017-06,139,61~206,«·∂»Œ€»æ,47,100,21,1.257,32,200
2017-07,104,42~182,«·∂»Œ€»æ,41,80,17,1.381,27,159
2017-08,98,53~161,¡º,42,78,23,1.429,32,146
2017-09,97,59~149,¡º,46,101,20,1.163,48,138
2017-10,81,38~143,¡º,56,96,16,1.355,47,69
2017-11,97,57~182,¡º,65,131,20,1.553,66,58
2017-12,113,51~238,«·∂»Œ€»æ,79,136,26,2.071,68,50
2018-01,129,51~277,«·∂»Œ€»æ,96,151,29,2.052,65,49
2018-02,114,54~242,«·∂»Œ€»æ,75,146,22,1.554,47,81
2018-03,106,50~212,«·∂»Œ€»æ,71,137,18,1.348,46,108
2018-04,99,58~134,¡º,51,145,18,1.138,44,103
