‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,174,174~174,÷–∂»Œ€»æ,132,181,12,2.3,49,54
2015-01,105,34~251,«·∂»Œ€»æ,77,114,12,1.79,26,63
2015-02,92,40~159,¡º,66,101,12,1.314,27,78
2015-03,78,45~115,¡º,47,88,8,0.829,20,112
2015-04,70,40~112,¡º,43,86,9,0.767,22,105
2015-05,61,40~99,¡º,34,65,6,0.59,12,102
2015-06,73,51~146,¡º,51,77,5,0.577,14,100
2015-07,73,44~102,¡º,50,85,4,0.687,11,101
2015-08,63,30~94,¡º,43,76,3,0.819,7,82
2015-09,40,22~76,”≈,14,31,6,0.867,11,74
2015-10,52,24~215,¡º,31,49,8,1.065,7,71
2015-11,65,30~200,¡º,45,57,18,1.4,12,62
2015-12,49,20~114,”≈,25,36,25,1.51,15,48
2016-01,50,27~105,¡º,32,50,15,0.852,17,57
2016-02,57,31~108,¡º,37,58,19,1.552,16,71
2016-03,59,38~124,¡º,35,64,13,1.577,9,81
2016-04,61,38~138,¡º,32,62,6,1.25,9,93
2016-05,69,42~130,¡º,38,60,7,0.926,15,112
2016-06,61,39~87,¡º,41,66,4,0.467,13,88
2016-07,63,34~78,¡º,39,70,3,0.468,10,79
2016-08,56,19~109,¡º,26,63,3,0.519,9,66
2016-09,55,26~94,¡º,28,63,4,0.553,9,61
2016-10,58,29~109,¡º,32,67,9,0.697,15,61
2016-11,79,43~147,¡º,54,91,13,0.89,22,54
2016-12,79,34~162,¡º,56,94,17,1.206,26,48
2017-01,94,40~199,¡º,67,113,19,1.339,26,51
2017-02,59,33~122,¡º,39,66,12,0.775,20,69
2017-03,52,35~82,¡º,29,57,9,0.694,18,82
2017-04,62,37~142,¡º,34,72,8,0.73,20,90
2017-05,58,31~120,¡º,20,61,7,0.552,15,96
2017-06,39,20~75,”≈,16,35,6,0.443,14,69
2017-07,43,28~70,”≈,20,39,7,0.523,14,75
2017-08,39,15~68,”≈,16,38,8,0.497,13,58
2017-09,41,25~58,”≈,16,40,8,0.603,16,64
2017-10,99,30~493,¡º,72,108,12,0.987,26,68
2017-11,68,30~284,¡º,44,78,13,0.88,22,61
2017-12,66,31~179,¡º,42,74,17,1.119,26,57
2018-01,60,31~119,¡º,40,69,17,0.984,23,66
2018-02,59,36~102,¡º,36,66,16,0.839,19,80
2018-03,62,44~80,¡º,32,69,14,0.8,18,103
2018-04,67,51~96,¡º,34,75,9,0.675,15,111
