‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,95,95~95,¡º,53,139,30,0.7,30,110
2015-01,95,16~210,¡º,71,92,44,0.974,42,65
2015-02,70,27~118,¡º,48,79,27,0.939,27,89
2015-03,55,21~88,¡º,28,56,30,0.819,24,86
2015-04,73,28~135,¡º,33,71,32,0.7,23,116
2015-05,65,33~116,¡º,33,57,29,0.774,17,110
2015-06,47,28~81,”≈,24,41,35,0.707,11,85
2015-07,49,27~69,”≈,22,43,24,0.6,10,90
2015-08,61,24~107,¡º,29,53,23,0.6,13,104
2015-09,67,23~110,¡º,42,61,40,0.713,20,90
2015-10,75,27~112,¡º,52,84,47,0.729,27,97
2015-11,56,25~103,¡º,38,56,37,0.933,27,49
2015-12,81,26~138,¡º,58,78,39,0.897,31,50
2016-01,79,37~169,¡º,56,76,35,0.884,33,52
2016-02,80,35~204,¡º,56,82,29,0.659,22,97
2016-03,81,31~129,¡º,55,83,44,0.706,34,97
2016-04,62,34~117,¡º,33,53,37,0.763,24,97
2016-05,68,36~129,¡º,35,55,34,0.755,21,111
2016-06,54,26~97,¡º,25,42,24,0.6,15,95
2016-07,48,27~92,”≈,20,38,22,0.523,13,88
2016-08,63,35~107,¡º,28,49,20,0.523,13,113
2016-09,73,23~127,¡º,36,56,28,0.687,17,118
2016-10,53,23~80,¡º,33,49,31,0.69,21,77
2016-11,64,28~124,¡º,44,66,37,0.773,32,56
2016-12,99,43~216,¡º,73,101,40,0.794,43,71
2017-01,97,43~240,¡º,71,93,29,0.842,37,68
2017-02,85,32~145,¡º,62,78,37,0.668,32,95
2017-03,68,39~153,¡º,44,62,36,0.768,34,84
2017-04,72,32~128,¡º,37,64,28,0.703,23,114
2017-05,86,33~159,¡º,37,59,26,0.713,21,137
2017-06,45,25~80,”≈,24,37,29,0.723,17,80
2017-07,50,22~120,”≈,21,39,20,0.477,13,86
2017-08,49,29~73,”≈,21,38,26,0.465,15,94
2017-09,64,27~113,¡º,29,49,28,0.59,18,110
2017-10,65,23~117,¡º,36,61,29,0.535,25,102
2017-11,71,27~119,¡º,50,75,39,0.71,35,69
2017-12,91,34~142,¡º,67,90,40,0.723,41,70
2018-01,82,29~198,¡º,58,70,28,0.839,40,52
2018-02,74,22~172,¡º,52,71,26,0.664,25,81
2018-03,65,28~107,¡º,38,59,34,0.59,34,95
2018-04,72,52~105,¡º,36,74,27,0.513,26,110
