‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,82,82~82,¡º,39,114,19,0.8,23,75
2015-01,134,39~256,«·∂»Œ€»æ,102,144,29,1.758,45,64
2015-02,122,34~219,«·∂»Œ€»æ,92,121,17,2.25,30,82
2015-03,81,24~148,¡º,58,87,15,1.913,29,87
2015-04,80,42~127,¡º,52,82,18,2.037,27,121
2015-05,100,44~170,«·∂»Œ€»æ,69,94,14,2.01,23,136
2015-06,74,42~132,¡º,41,64,6,1.507,17,122
2015-07,68,39~151,¡º,36,52,7,0.955,16,117
2015-08,79,27~126,¡º,39,55,10,0.932,15,133
2015-09,87,44~118,¡º,43,65,17,1.253,19,143
2015-10,88,32~134,¡º,56,92,31,1.461,31,130
2015-11,57,28~93,¡º,37,57,11,1.543,33,54
2015-12,108,44~292,«·∂»Œ€»æ,79,115,13,1.303,45,50
2016-01,100,52~232,¡º,73,104,10,1.406,38,52
2016-02,98,45~330,¡º,72,103,11,1.331,26,92
2016-03,103,37~204,«·∂»Œ€»æ,74,107,17,1.384,34,112
2016-04,77,47~131,¡º,39,60,8,1.407,21,127
2016-05,86,48~164,¡º,47,72,9,1.11,18,138
2016-06,73,33~131,¡º,36,51,7,0.963,16,123
2016-07,65,24~131,¡º,33,47,8,0.848,12,107
2016-08,91,40~169,¡º,41,61,9,1.09,12,145
2016-09,103,32~197,«·∂»Œ€»æ,47,76,9,1.227,20,158
2016-10,55,28~117,¡º,34,51,7,1.039,24,72
2016-11,61,22~95,¡º,42,68,12,0.943,33,63
2016-12,93,42~144,¡º,69,107,16,1.177,44,69
2017-01,105,28~223,«·∂»Œ€»æ,78,120,14,1.245,34,71
2017-02,92,58~210,¡º,67,103,16,1.032,32,88
2017-03,87,46~244,¡º,59,101,15,1.194,34,93
2017-04,79,41~120,¡º,43,85,12,1.127,26,118
2017-05,102,42~190,«·∂»Œ€»æ,49,100,10,1.035,21,145
2017-06,77,34~133,¡º,33,62,6,1.333,19,125
2017-07,69,30~142,¡º,29,60,14,0.903,17,115
2017-08,58,30~96,¡º,21,48,7,1.148,15,103
2017-09,75,38~167,¡º,26,55,6,0.95,19,121
2017-10,60,18~132,¡º,31,57,7,0.787,24,97
2017-11,93,37~160,¡º,68,105,11,1.02,41,80
2017-12,114,54~218,«·∂»Œ€»æ,85,122,15,0.965,43,54
2018-01,91,34~162,¡º,66,98,10,1.161,33,53
2018-02,91,33~178,¡º,65,99,9,1.1,25,73
2018-03,67,30~133,¡º,45,75,11,1.003,30,98
2018-04,90,50~132,¡º,49,115,10,1.1,28,112
