‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,72,72~72,¡º,38,93,26,0.5,16,72
2015-01,83,55~196,¡º,54,110,31,0.655,19,66
2015-02,98,57~179,¡º,58,135,25,0.726,15,84
2015-03,122,75~259,«·∂»Œ€»æ,65,187,20,1.26,14,106
2015-04,93,54~228,¡º,56,122,8,0.523,10,114
2015-05,83,59~174,¡º,53,97,7,1.213,9,119
2015-06,68,47~133,¡º,41,79,8,0.29,10,99
2015-07,62,49~77,¡º,36,47,7,0.365,9,105
2015-08,67,43~149,¡º,46,65,9,0.423,9,101
2015-09,74,42~192,¡º,53,67,11,0.513,12,78
2015-10,75,50~109,¡º,55,79,16,0.523,14,63
2015-11,79,49~147,¡º,57,88,30,0.707,17,67
2015-12,74,53~132,¡º,51,82,38,0.563,18,83
2016-01,88,43~179,¡º,61,113,32,0.542,8,83
2016-02,111,55~500,«·∂»Œ€»æ,69,149,25,0.371,4,93
2016-03,119,61~399,«·∂»Œ€»æ,67,174,7,0.559,5,105
2016-04,84,59~143,¡º,32,114,8,0.407,6,110
2016-05,80,52~181,¡º,38,89,15,0.374,12,119
2016-06,76,54~104,¡º,30,60,14,0.34,11,130
2016-07,80,55~110,¡º,43,69,13,0.368,11,124
2016-08,78,32~114,¡º,52,65,9,0.406,5,100
2016-09,44,0~65,”≈,22,33,8,0.317,6,80
2016-10,57,42~100,¡º,37,61,12,0.958,17,73
2016-11,67,0~107,¡º,43,82,24,1.24,16,41
2016-12,60,45~98,¡º,39,66,37,0.858,23,63
2017-01,83,48~304,¡º,52,103,39,1.306,16,79
2017-02,67,42~97,¡º,42,79,29,1.014,17,87
2017-03,65,45~107,¡º,41,72,19,0.735,18,102
2017-04,63,40~95,¡º,31,58,10,0.877,15,107
2017-05,71,55~89,¡º,26,51,7,1.003,12,122
2017-06,66,52~91,¡º,26,43,7,1.057,11,117
2017-07,71,43~102,¡º,26,39,7,1.09,9,122
2017-08,48,28~83,”≈,22,30,7,0.906,23,88
2017-09,38,27~85,”≈,22,34,8,0.827,20,65
2017-10,44,29~66,”≈,29,44,12,1.01,15,53
2017-11,54,31~92,¡º,35,56,18,1.097,18,59
2017-12,70,42~183,¡º,46,79,21,1.258,21,58
2018-01,72,37~154,¡º,48,85,24,1.323,19,73
2018-02,91,61~262,¡º,47,128,29,1.196,16,94
2018-03,76,49~158,¡º,34,99,16,1.19,11,105
2018-04,160,57~500,÷–∂»Œ€»æ,50,243,12,1,10,102
