月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,84,84~84,良,60,119,10,0.2,25,42
2015-01,74,22~136,良,54,68,6,0.362,22,34
2015-04,58,31~77,良,41,57,6,0.152,12,51
2015-05,59,24~126,良,40,53,8,0.171,10,76
2015-06,39,21~71,优,25,32,7,0.217,10,51
2015-07,33,19~75,优,22,29,7,0.135,10,33
2015-08,38,17~85,优,26,35,8,0.119,10,41
2015-09,45,23~83,优,31,44,9,0.157,11,45
2015-10,54,19~83,良,37,55,9,0.216,12,71
2015-11,38,23~59,优,23,34,13,0.213,19,59
2015-12,70,30~149,良,49,66,16,0.384,22,70
2016-01,58,29~144,良,34,48,11,0.368,29,81
2016-02,73,35~229,良,51,74,10,0.207,26,93
2016-03,69,45~107,良,47,67,15,0.271,28,83
2016-04,42,24~60,优,23,35,11,0.627,22,73
2016-05,42,29~92,优,23,37,18,0.539,17,73
2016-06,36,24~58,优,17,31,20,0.43,14,64
2016-07,41,24~74,优,16,28,18,0.435,16,80
2016-08,40,24~55,优,19,35,22,0.468,16,78
2016-09,45,25~67,优,24,43,24,0.533,15,71
2016-10,38,27~52,优,15,35,13,0.652,21,66
2016-11,49,29~79,优,25,50,12,0.75,25,52
2016-12,66,28~196,良,46,72,12,0.881,21,64
2017-01,71,29~175,良,48,74,12,0.865,22,65
2017-02,58,31~88,良,37,66,12,0.632,20,81
2017-03,54,28~87,良,25,54,12,0.642,20,90
2017-04,58,34~83,良,27,57,11,0.693,16,99
2017-05,70,40~94,良,27,48,16,0.642,16,122
2017-06,52,33~87,良,13,31,17,0.647,16,98
2017-07,41,27~80,优,11,35,13,0.629,15,79
2017-08,38,27~50,优,10,31,11,0.603,17,71
2017-09,41,27~60,优,13,36,11,0.69,17,77
2017-10,46,28~85,优,22,45,12,0.697,21,79
2017-11,58,30~81,良,35,66,11,0.697,27,68
2017-12,68,29~134,良,46,78,10,0.732,23,59
2018-01,57,23~110,良,36,58,10,0.716,23,49
2018-02,62,23~166,良,40,64,15,0.729,16,62
2018-03,45,22~74,优,24,45,12,0.684,18,71
2018-04,51,27~86,良,26,57,11,0.688,16,71
