‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,96,96~96,¡º,54,143,33,1.2,35,58
2015-01,143,42~275,«·∂»Œ€»æ,109,173,41,1.971,60,42
2015-02,121,31~224,«·∂»Œ€»æ,91,136,30,1.832,42,61
2015-03,86,42~136,¡º,63,101,21,1.603,38,63
2015-04,84,45~130,¡º,61,96,25,1.477,40,96
2015-05,109,59~179,«·∂»Œ€»æ,80,114,29,1.568,29,116
2015-06,73,42~119,¡º,51,78,23,1.29,25,97
2015-07,72,43~136,¡º,49,72,12,1.181,19,96
2015-08,76,35~122,¡º,51,78,10,1.397,16,117
2015-09,84,44~117,¡º,55,84,13,1.46,23,127
2015-10,93,44~153,¡º,68,101,12,1.59,33,103
2015-11,69,36~94,¡º,48,71,11,1.873,27,37
2015-12,116,46~238,«·∂»Œ€»æ,86,120,23,1.832,36,32
2016-01,112,58~270,«·∂»Œ€»æ,83,120,25,2.219,37,34
2016-02,94,49~246,¡º,68,105,28,1.828,30,76
2016-03,104,35~236,«·∂»Œ€»æ,77,114,25,2.168,37,85
2016-04,74,53~114,¡º,48,76,16,1.64,31,95
2016-05,85,51~139,¡º,60,95,18,1.429,29,105
2016-06,73,42~116,¡º,45,77,11,1.703,25,103
2016-07,65,31~134,¡º,34,61,10,1.132,20,99
2016-08,82,50~130,¡º,43,73,16,0.984,22,131
2016-09,89,29~151,¡º,48,78,18,1.047,23,135
2016-10,60,26~122,¡º,41,63,11,1.1,29,51
2016-11,77,32~115,¡º,56,91,19,1.163,41,46
2016-12,105,52~162,«·∂»Œ€»æ,79,118,19,1.265,48,49
2017-01,115,46~230,«·∂»Œ€»æ,86,127,22,1.326,42,49
2017-02,95,59~210,¡º,70,105,27,1.154,38,67
2017-03,83,35~231,¡º,59,95,20,1.197,39,76
2017-04,75,32~125,¡º,49,86,22,1.1,39,95
2017-05,93,36~152,¡º,55,97,17,1.1,35,127
2017-06,71,34~120,¡º,42,64,14,1.127,29,109
2017-07,66,30~129,¡º,36,60,15,0.958,25,101
2017-08,56,29~84,¡º,32,52,13,1.068,24,95
2017-09,69,36~127,¡º,41,63,12,1.117,29,103
2017-10,60,24~135,¡º,41,64,11,1.09,32,78
2017-11,98,46~159,¡º,72,108,18,1.397,50,69
2017-12,112,59~208,«·∂»Œ€»æ,84,122,21,1.294,57,47
2018-01,93,38~170,¡º,69,95,13,1.413,43,46
2018-02,92,39~159,¡º,67,102,18,1.336,41,62
2018-03,67,35~132,¡º,46,75,16,1.339,43,84
2018-04,85,44~130,¡º,49,110,18,1.338,40,103
