月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,31,31~31,优,17,29,33,0.4,18,61
2015-01,57,32~125,良,38,61,43,0.642,23,56
2015-02,52,34~113,良,30,53,33,0.532,22,77
2015-03,56,37~110,良,31,55,27,0.484,19,100
2015-04,57,35~106,良,29,61,14,0.337,16,95
2015-05,50,28~73,良,23,38,8,0.261,12,95
2015-06,53,32~117,良,34,52,8,0.297,13,74
2015-07,60,37~96,良,32,62,11,0.397,12,93
2015-08,49,33~68,优,23,50,12,0.41,13,76
2015-09,35,15~77,优,12,30,14,0.307,13,64
2015-10,51,27~222,良,26,48,19,0.387,15,71
2015-11,71,28~252,良,51,46,19,0.577,12,58
2015-12,58,25~124,良,39,46,32,0.745,21,40
2016-01,40,27~72,优,23,26,39,0.542,18,52
2016-02,45,30~69,优,26,33,42,0.521,19,53
2016-03,43,30~76,优,22,35,28,0.442,20,72
2016-04,42,30~70,优,19,33,21,0.273,18,75
2016-05,59,28~180,良,33,44,22,0.348,21,96
2016-06,38,24~65,优,15,29,22,0.563,16,72
2016-07,39,28~67,优,15,34,20,0.61,16,71
2016-08,36,28~52,优,14,34,20,0.558,15,54
2016-09,45,30~89,优,22,43,19,0.727,18,49
2016-10,34,27~69,优,18,33,22,0.374,15,54
2016-11,49,27~84,优,33,44,25,0.543,22,58
2016-12,53,30~117,良,36,54,27,0.777,21,50
2017-01,57,30~127,良,39,57,31,0.674,20,57
2017-02,45,35~72,优,27,43,20,0.618,18,75
2017-03,49,32~137,优,28,43,16,0.539,17,87
2017-04,51,34~137,良,27,43,12,0.647,12,87
2017-05,61,22~500,良,19,58,7,0.571,12,86
2017-06,45,27~80,优,16,39,11,0.53,14,81
2017-07,56,27~142,良,21,37,12,0.681,12,99
2017-08,38,22~74,优,22,36,13,0.623,10,57
2017-09,34,23~49,优,16,32,13,0.68,12,59
2017-10,40,29~110,优,20,37,17,0.661,16,62
2017-11,44,27~107,优,25,44,19,0.683,15,54
2017-12,38,26~60,优,22,35,22,0.89,14,57
2018-01,46,29~87,优,25,43,28,0.942,15,68
2018-02,42,32~61,优,21,39,24,0.829,12,74
2018-03,63,42~183,良,28,47,21,0.623,12,110
2018-04,61,52~72,良,26,40,9,0.563,7,113
