月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,75,75~75,良,55,94,35,0.7,43,87
2015-01,73,13~124,良,53,77,28,0.971,35,57
2015-02,49,18~120,优,32,45,19,0.854,26,62
2015-03,44,20~72,优,27,42,12,0.79,25,61
2015-04,57,34~100,良,31,45,10,0.657,25,95
2015-05,49,34~79,优,29,42,7,0.665,23,86
2015-06,36,21~47,优,17,28,8,0.61,17,68
2015-07,46,20~75,优,25,38,8,0.59,23,85
2015-08,43,21~102,优,25,37,11,0.477,24,70
2015-09,48,23~88,优,31,45,9,0.63,23,70
2015-10,54,32~85,良,35,53,13,0.513,28,86
2015-11,39,21~69,优,24,36,13,0.66,20,45
2015-12,56,28~94,良,36,55,14,0.584,27,45
2016-01,57,23~119,良,38,55,13,0.71,23,42
2016-02,70,28~252,良,49,70,17,0.576,25,79
2016-03,63,29~92,良,43,62,10,0.594,29,79
2016-04,45,28~79,优,27,42,8,0.57,23,73
2016-05,46,24~74,优,24,40,6,0.584,23,74
2016-06,39,26~63,优,17,30,8,0.623,18,70
2016-07,34,20~50,优,14,26,6,0.571,15,63
2016-08,46,23~84,优,23,40,9,0.794,21,82
2016-09,63,27~142,良,33,53,10,0.737,25,108
2016-10,50,17~89,良,29,47,7,0.658,23,64
2016-11,41,18~55,优,25,40,8,0.833,25,32
2016-12,77,30~169,良,55,78,15,1.055,37,33
2017-01,81,30~172,良,58,77,12,1.171,29,35
2017-02,55,29~109,良,38,53,15,1.025,29,42
2017-03,46,25~82,优,27,42,8,0.829,30,38
2017-04,41,23~72,优,24,39,6,0.69,23,60
2017-05,41,23~74,优,21,36,4,0.616,25,63
2017-06,35,18~59,优,18,28,4,0.663,23,56
2017-07,38,20~82,优,17,27,4,0.732,15,73
2017-08,35,19~75,优,15,26,5,0.745,15,67
2017-09,40,22~69,优,24,39,8,0.78,18,56
2017-10,51,21~100,良,33,47,12,0.71,20,59
2017-11,64,30~128,良,45,67,11,0.753,32,58
2017-12,76,37~125,良,55,77,16,0.923,42,62
2018-01,57,23~117,良,39,54,15,1.026,29,44
2018-02,71,33~117,良,50,73,14,0.871,27,84
2018-03,61,23~109,良,37,53,11,0.742,29,84
2018-04,69,51~88,良,40,74,6,0.563,20,110
