月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,100,100~100,良,75,112,49,0.6,26,75
2015-01,59,21~89,良,41,58,16,1.271,19,54
2015-02,46,17~94,优,22,50,20,1.95,20,43
2015-03,42,20~69,优,16,44,18,0.839,19,67
2015-04,51,32~105,良,18,46,25,1.103,20,80
2015-05,38,24~57,优,16,36,21,0.881,12,50
2015-06,34,24~78,优,15,30,17,1.023,10,60
2015-07,49,27~75,优,23,50,33,0.939,17,71
2015-08,49,26~99,优,16,37,25,0.432,22,89
2015-09,38,24~63,优,16,32,21,0.357,18,71
2015-10,49,35~68,优,20,46,23,0.542,22,86
2015-11,40,25~70,优,16,39,25,0.623,18,66
2015-12,43,30~59,优,18,43,24,0.839,16,50
2016-01,42,27~74,优,21,43,25,1.071,19,51
2016-02,54,33~128,良,33,48,24,1.055,19,67
2016-03,45,28~77,优,26,44,22,0.913,13,73
2016-04,58,31~90,良,22,50,23,0.69,14,95
2016-05,54,22~92,良,19,47,16,0.523,11,96
2016-06,32,22~48,优,16,28,15,0.483,16,61
2016-07,33,21~49,优,15,24,11,0.616,17,66
2016-08,43,25~70,优,18,29,15,0.697,21,80
2016-09,47,26~72,优,25,46,12,0.95,18,80
2016-10,45,26~64,优,19,46,10,0.981,20,47
2016-11,48,26~67,优,16,49,14,1.303,22,48
2016-12,61,44~92,良,33,73,14,1.561,26,54
2017-01,51,33~83,良,20,44,8,1.726,19,44
2017-02,48,26~75,优,23,50,10,1.3,16,62
2017-03,47,25~87,优,20,50,15,1.139,19,68
2017-04,51,30~90,良,18,51,6,1.103,17,90
2017-05,50,26~84,良,15,40,6,0.719,17,94
2017-06,33,19~61,优,12,27,5,0.687,14,62
2017-07,27,17~48,优,11,26,6,0.606,15,45
2017-08,26,18~52,优,11,24,7,0.755,13,48
2017-09,30,20~55,优,12,27,8,0.89,14,50
2017-10,29,20~59,优,13,27,7,0.955,14,45
2017-11,44,22~72,优,20,47,8,1.063,20,50
2017-12,50,28~85,优,21,55,11,1.271,24,43
2018-01,43,23~61,优,18,44,9,1.219,17,42
2018-02,52,33~73,良,26,57,11,1.111,17,50
2018-03,45,28~62,优,18,46,5,0.929,15,72
2018-04,55,32~71,良,27,58,3,0.925,11,87
