‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,138,138~138,«·∂»Œ€»æ,106,138,48,1.1,35,17
2014-01,80,31~208,¡º,57,81,51,1.126,31,26
2014-02,90,31~253,¡º,66,94,59,1.318,33,36
2014-03,60,37~104,¡º,38,67,34,0.852,24,62
2014-04,62,34~112,¡º,27,72,21,0.713,22,88
2014-05,46,31~80,”≈,15,44,10,0.823,14,78
2014-06,45,31~75,”≈,15,46,7,0.51,13,77
2014-07,68,23~190,¡º,42,65,10,0.642,15,82
2014-08,43,27~60,”≈,18,40,6,0.648,15,77
2014-09,38,18~63,”≈,14,33,11,0.65,17,66
2014-10,68,25~241,¡º,45,68,25,1.058,22,60
2014-11,95,27~253,¡º,69,94,47,1.157,25,46
2014-12,66,23~159,¡º,46,61,53,1.11,28,39
2015-01,72,29~181,¡º,51,71,55,1.168,31,46
2015-02,67,34~143,¡º,44,74,49,1.118,30,65
2015-03,64,35~151,¡º,41,69,35,0.939,24,86
2015-04,63,40~160,¡º,29,73,20,0.857,17,92
2015-05,50,33~108,”≈,14,34,10,0.568,17,94
2015-06,56,28~94,¡º,16,33,9,0.547,20,105
2015-07,54,32~88,¡º,18,41,10,0.665,20,99
2015-08,47,30~63,”≈,17,47,11,0.532,14,71
2015-09,45,26~69,”≈,17,47,5,0.51,19,57
2015-10,63,23~272,¡º,37,66,16,0.7,24,55
2015-11,112,46~312,«·∂»Œ€»æ,84,106,42,0.863,35,42
2015-12,107,31~250,«·∂»Œ€»æ,79,97,51,1.1,38,31
2016-01,62,39~132,¡º,43,57,50,0.868,27,41
2016-02,64,34~152,¡º,43,58,49,0.828,28,57
2016-03,68,33~180,¡º,43,74,32,0.684,26,80
2016-04,64,38~143,¡º,31,69,15,0.6,20,92
2016-05,64,31~191,¡º,24,77,9,0.445,16,97
2016-06,44,26~81,”≈,18,41,8,0.437,19,79
2016-07,50,31~75,¡º,22,50,4,0.539,19,84
2016-08,44,13~79,”≈,17,45,5,0.523,17,63
2016-09,44,16~72,”≈,20,46,5,0.537,19,45
2016-10,55,29~117,¡º,33,59,14,0.787,22,46
2016-11,85,42~225,¡º,62,77,36,1.227,32,39
2016-12,91,36~201,¡º,67,81,47,1.377,34,32
2017-01,117,30~299,«·∂»Œ€»æ,89,95,52,1.526,35,43
2017-02,54,33~119,¡º,36,51,39,0.957,24,59
2017-03,61,33~122,¡º,41,60,30,0.881,26,72
2017-04,64,40~107,¡º,32,68,14,0.653,19,95
2017-05,86,42~425,¡º,27,101,10,0.506,17,111
2017-06,54,31~95,¡º,16,49,9,0.55,20,101
2017-07,61,38~111,¡º,18,47,10,0.629,18,109
2017-08,48,29~94,”≈,20,46,8,0.613,14,79
2017-09,45,32~62,”≈,17,45,5,0.55,15,68
2017-10,67,29~242,¡º,41,75,18,0.652,24,64
2017-11,84,34~396,¡º,57,88,30,0.74,25,53
2017-12,74,28~153,¡º,53,69,41,1.103,30,48
2018-01,68,32~178,¡º,48,60,36,0.919,25,57
2018-02,64,36~143,¡º,44,66,32,0.836,24,66
2018-03,74,41~243,¡º,45,79,22,0.771,22,98
2018-04,76,45~200,¡º,41,99,11,0.663,16,97
