月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,54,54~54,良,29,58,27,1,28,82
2015-01,63,34~93,良,42,72,24,1.294,32,64
2015-02,56,25~104,良,39,56,14,1.075,25,66
2015-03,43,13~75,优,27,41,11,1.042,19,66
2015-04,55,18~112,良,32,53,13,0.917,24,91
2015-05,37,21~66,优,18,32,7,0.977,22,64
2015-06,36,24~63,优,15,30,8,0.713,16,69
2015-07,39,20~73,优,18,35,7,0.729,17,72
2015-08,45,21~102,优,18,35,8,0.677,19,82
2015-09,53,27~83,良,25,44,10,0.823,22,97
2015-10,59,28~102,良,28,50,13,0.8,26,102
2015-11,48,22~73,优,27,48,16,0.893,29,69
2015-12,46,27~84,优,26,43,12,0.997,30,51
2016-01,48,30~82,优,27,44,12,1.019,30,49
2016-02,49,23~135,优,28,43,9,0.759,16,79
2016-03,60,26~152,良,33,53,10,1.039,34,79
2016-04,55,30~103,良,26,44,11,0.907,25,91
2016-05,52,30~100,良,23,44,10,0.835,22,94
2016-06,42,25~84,优,15,35,9,0.673,19,79
2016-07,47,20~101,优,19,42,9,0.7,20,83
2016-08,50,23~90,优,20,43,7,0.813,21,89
2016-09,55,23~99,良,23,43,9,0.853,21,95
2016-10,38,23~64,优,16,32,8,0.694,18,66
2016-11,51,25~90,良,26,50,11,0.83,31,69
2016-12,57,28~77,良,34,63,13,0.868,36,75
2017-01,52,24~153,良,32,54,13,0.887,28,63
2017-02,48,27~76,优,27,43,9,0.718,26,83
2017-03,49,25~72,优,27,44,8,0.897,32,68
2017-04,54,28~95,良,24,43,9,0.74,25,91
2017-05,55,29~104,良,22,41,7,0.768,25,96
2017-06,31,20~47,优,11,25,7,0.653,18,54
2017-07,44,25~102,优,15,38,8,0.623,19,71
2017-08,44,25~73,优,17,41,8,0.606,20,82
2017-09,54,31~90,良,22,43,9,0.65,22,99
2017-10,55,28~95,良,23,42,11,0.619,22,100
2017-11,51,20~94,良,31,49,11,0.78,27,69
2017-12,53,26~78,良,34,58,15,0.806,34,77
2018-01,51,22~80,良,29,50,13,0.816,34,64
2018-02,57,20~256,良,37,51,11,0.682,21,75
2018-03,61,33~95,良,29,52,10,0.681,27,102
2018-04,71,40~95,良,36,77,13,0.588,27,122
